,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Basement,15-07-2019 05:58:37,4.0,1,3,23.114,35.452,32.923,15-07-2019 05:59:50,15-07-2019 06:00:13,15-07-2019 06:00:13,15-07-2019 06:00:49,15-07-2019 06:00:49,15-07-2019 06:01:22
2,AGP_Basement,15-07-2019 05:58:37,4.0,2,3,41.554,44.034,9.438,15-07-2019 05:59:52,15-07-2019 06:00:33,15-07-2019 06:00:33,15-07-2019 06:01:17,15-07-2019 06:01:17,15-07-2019 06:01:27
3,AGP_Basement,15-07-2019 05:58:37,4.0,3,3,32.489,27.691,19.359,15-07-2019 05:59:51,15-07-2019 06:00:24,15-07-2019 06:00:24,15-07-2019 06:00:51,15-07-2019 06:00:51,15-07-2019 06:01:11
4,AGP_Basement,15-07-2019 05:58:37,4.0,4,3,17.834,42.667,9.421,15-07-2019 05:59:51,15-07-2019 06:00:09,15-07-2019 06:00:09,15-07-2019 06:00:51,15-07-2019 06:00:51,15-07-2019 06:01:01
5,AGP_Basement,15-07-2019 05:58:37,4.0,5,3,26.733,21.265,11.431,15-07-2019 05:59:50,15-07-2019 06:00:17,15-07-2019 06:00:17,15-07-2019 06:00:38,15-07-2019 06:00:38,15-07-2019 06:00:50
6,AGP_Basement,15-07-2019 06:02:07,1.0,1,3,25.0,19.886,9.83,15-07-2019 06:03:20,15-07-2019 06:03:45,15-07-2019 06:03:45,15-07-2019 06:04:05,15-07-2019 06:04:05,15-07-2019 06:04:15
7,AGP_Basement,15-07-2019 06:02:07,1.0,2,3,34.023,18.702,9.546,15-07-2019 06:03:21,15-07-2019 06:03:55,15-07-2019 06:03:55,15-07-2019 06:04:14,15-07-2019 06:04:14,15-07-2019 06:04:24
8,AGP_Basement,15-07-2019 06:02:07,1.0,3,3,18.849,30.775,19.725,15-07-2019 06:03:21,15-07-2019 06:03:40,15-07-2019 06:03:40,15-07-2019 06:04:10,15-07-2019 06:04:10,15-07-2019 06:04:30
9,AGP_Basement,15-07-2019 06:02:07,1.0,4,3,39.736,26.945,9.334,15-07-2019 06:03:20,15-07-2019 06:04:00,15-07-2019 06:04:00,15-07-2019 06:04:27,15-07-2019 06:04:27,15-07-2019 06:04:36
10,AGP_Basement,15-07-2019 06:02:07,1.0,5,3,41.251,31.354,12.346,15-07-2019 06:03:20,15-07-2019 06:04:01,15-07-2019 06:04:01,15-07-2019 06:04:33,15-07-2019 06:04:33,15-07-2019 06:04:45
11,AGP_Basement,15-07-2019 06:05:38,2.0,1,3,21.115,27.042,10.218,15-07-2019 06:06:59,15-07-2019 06:07:20,15-07-2019 06:07:20,15-07-2019 06:07:47,15-07-2019 06:07:47,15-07-2019 06:07:57
12,AGP_Basement,15-07-2019 06:05:38,2.0,2,3,28.924,23.467,9.538,15-07-2019 06:07:01,15-07-2019 06:07:29,15-07-2019 06:07:29,15-07-2019 06:07:53,15-07-2019 06:07:53,15-07-2019 06:08:02
13,AGP_Basement,15-07-2019 06:05:38,2.0,3,3,33.303,34.254,20.383,15-07-2019 06:07:00,15-07-2019 06:07:33,15-07-2019 06:07:33,15-07-2019 06:08:08,15-07-2019 06:08:08,15-07-2019 06:08:28
14,AGP_Basement,15-07-2019 06:05:38,2.0,4,3,18.426,48.092,9.406,15-07-2019 06:07:00,15-07-2019 06:07:18,15-07-2019 06:07:18,15-07-2019 06:08:06,15-07-2019 06:08:06,15-07-2019 06:08:16
15,AGP_Basement,15-07-2019 06:05:38,2.0,5,3,23.833,47.01,12.659,15-07-2019 06:06:59,15-07-2019 06:07:23,15-07-2019 06:07:23,15-07-2019 06:08:10,15-07-2019 06:08:10,15-07-2019 06:08:23
16,AGP_Basement,15-07-2019 06:09:08,1.0,1,3,24.468,22.138,9.569,15-07-2019 06:10:20,15-07-2019 06:10:45,15-07-2019 06:10:45,15-07-2019 06:11:07,15-07-2019 06:11:07,15-07-2019 06:11:17
17,AGP_Basement,15-07-2019 06:09:08,1.0,2,3,30.043,24.282,9.459,15-07-2019 06:10:22,15-07-2019 06:10:52,15-07-2019 06:10:52,15-07-2019 06:11:16,15-07-2019 06:11:16,15-07-2019 06:11:26
18,AGP_Basement,15-07-2019 06:09:08,1.0,3,3,26.37,35.859,18.869,15-07-2019 06:10:21,15-07-2019 06:10:48,15-07-2019 06:10:48,15-07-2019 06:11:24,15-07-2019 06:11:24,15-07-2019 06:11:42
19,AGP_Basement,15-07-2019 06:09:08,1.0,4,3,17.955,40.338,9.436,15-07-2019 06:10:21,15-07-2019 06:10:39,15-07-2019 06:10:39,15-07-2019 06:11:19,15-07-2019 06:11:19,15-07-2019 06:11:29
20,AGP_Basement,15-07-2019 06:09:08,1.0,5,3,22.009,27.257,12.148,15-07-2019 06:10:21,15-07-2019 06:10:43,15-07-2019 06:10:43,15-07-2019 06:11:10,15-07-2019 06:11:10,15-07-2019 06:11:22
21,AGP_Basement,15-07-2019 06:12:39,5.0,1,3,31.327,25.787,8.066,15-07-2019 06:13:51,15-07-2019 06:14:23,15-07-2019 06:14:23,15-07-2019 06:14:48,15-07-2019 06:14:48,15-07-2019 06:14:57
22,AGP_Basement,15-07-2019 06:12:39,5.0,2,3,27.96,36.106,14.473,15-07-2019 06:13:53,15-07-2019 06:14:21,15-07-2019 06:14:21,15-07-2019 06:14:57,15-07-2019 06:14:57,15-07-2019 06:15:11
23,AGP_Basement,15-07-2019 06:12:39,5.0,3,3,19.038,41.639,17.775,15-07-2019 06:13:52,15-07-2019 06:14:11,15-07-2019 06:14:11,15-07-2019 06:14:53,15-07-2019 06:14:53,15-07-2019 06:15:11
24,AGP_Basement,15-07-2019 06:12:39,5.0,4,3,41.06,26.443,14.574,15-07-2019 06:13:52,15-07-2019 06:14:33,15-07-2019 06:14:33,15-07-2019 06:14:59,15-07-2019 06:14:59,15-07-2019 06:15:14
25,AGP_Basement,15-07-2019 06:12:39,5.0,5,3,47.118,36.457,11.239,15-07-2019 06:13:52,15-07-2019 06:14:39,15-07-2019 06:14:39,15-07-2019 06:15:15,15-07-2019 06:15:15,15-07-2019 06:15:27
26,AGP_Basement,15-07-2019 06:16:09,6.0,1,3,21.426,26.502,53.403,15-07-2019 06:17:23,15-07-2019 06:17:45,15-07-2019 06:17:45,15-07-2019 06:18:11,15-07-2019 06:18:11,15-07-2019 06:19:05
27,AGP_Basement,15-07-2019 06:16:09,6.0,2,3,25.981,70.008,9.64,15-07-2019 06:17:25,15-07-2019 06:17:51,15-07-2019 06:17:51,15-07-2019 06:19:01,15-07-2019 06:19:01,15-07-2019 06:19:10
28,AGP_Basement,15-07-2019 06:16:09,6.0,3,3,37.24,26.253,38.227,15-07-2019 06:17:24,15-07-2019 06:18:01,15-07-2019 06:18:01,15-07-2019 06:18:28,15-07-2019 06:18:28,15-07-2019 06:19:06
29,AGP_Basement,15-07-2019 06:16:09,6.0,4,3,18.275,45.967,9.227,15-07-2019 06:17:24,15-07-2019 06:17:42,15-07-2019 06:17:42,15-07-2019 06:18:28,15-07-2019 06:18:28,15-07-2019 06:18:37
30,AGP_Basement,15-07-2019 06:16:09,6.0,5,3,30.819,29.316,16.639,15-07-2019 06:17:24,15-07-2019 06:17:54,15-07-2019 06:17:54,15-07-2019 06:18:24,15-07-2019 06:18:24,15-07-2019 06:18:40
31,AGP_Basement,15-07-2019 06:19:40,0.0,1,3,28.047,26.028,9.784,15-07-2019 06:20:53,15-07-2019 06:21:21,15-07-2019 06:21:21,15-07-2019 06:21:47,15-07-2019 06:21:47,15-07-2019 06:21:57
32,AGP_Basement,15-07-2019 06:19:40,0.0,2,3,24.514,18.559,9.644,15-07-2019 06:20:54,15-07-2019 06:21:19,15-07-2019 06:21:19,15-07-2019 06:21:37,15-07-2019 06:21:37,15-07-2019 06:21:47
33,AGP_Basement,15-07-2019 06:19:40,0.0,3,3,29.57,29.625,20.178,15-07-2019 06:20:54,15-07-2019 06:21:23,15-07-2019 06:21:23,15-07-2019 06:21:53,15-07-2019 06:21:53,15-07-2019 06:22:13
34,AGP_Basement,15-07-2019 06:19:40,0.0,4,3,18.354,39.749,9.385,15-07-2019 06:20:53,15-07-2019 06:21:12,15-07-2019 06:21:12,15-07-2019 06:21:52,15-07-2019 06:21:52,15-07-2019 06:22:01
35,AGP_Basement,15-07-2019 06:19:40,0.0,5,3,26.31,31.037,13.391,15-07-2019 06:20:53,15-07-2019 06:21:19,15-07-2019 06:21:19,15-07-2019 06:21:50,15-07-2019 06:21:50,15-07-2019 06:22:04
36,AGP_Basement,15-07-2019 06:23:11,4.0,1,3,22.838,22.397,9.637,15-07-2019 06:24:23,15-07-2019 06:24:46,15-07-2019 06:24:46,15-07-2019 06:25:08,15-07-2019 06:25:08,15-07-2019 06:25:18
37,AGP_Basement,15-07-2019 06:23:11,4.0,2,3,51.814,18.572,9.709,15-07-2019 06:24:24,15-07-2019 06:25:16,15-07-2019 06:25:16,15-07-2019 06:25:35,15-07-2019 06:25:35,15-07-2019 06:25:45
38,AGP_Basement,15-07-2019 06:23:11,4.0,3,3,18.963,50.796,17.875,15-07-2019 06:24:24,15-07-2019 06:24:43,15-07-2019 06:24:43,15-07-2019 06:25:34,15-07-2019 06:25:34,15-07-2019 06:25:52
39,AGP_Basement,15-07-2019 06:23:11,4.0,4,3,35.968,22.752,9.377,15-07-2019 06:24:24,15-07-2019 06:25:00,15-07-2019 06:25:00,15-07-2019 06:25:22,15-07-2019 06:25:22,15-07-2019 06:25:32
40,AGP_Basement,15-07-2019 06:23:11,4.0,5,3,30.524,27.529,25.087,15-07-2019 06:24:23,15-07-2019 06:24:54,15-07-2019 06:24:54,15-07-2019 06:25:21,15-07-2019 06:25:21,15-07-2019 06:25:46
41,AGP_Basement,15-07-2019 06:26:41,11.0,1,3,22.717,19.214,13.792,15-07-2019 06:27:54,15-07-2019 06:28:16,15-07-2019 06:28:16,15-07-2019 06:28:36,15-07-2019 06:28:36,15-07-2019 06:28:49
42,AGP_Basement,15-07-2019 06:26:41,11.0,2,3,18.593,29.643,9.552,15-07-2019 06:27:55,15-07-2019 06:28:14,15-07-2019 06:28:14,15-07-2019 06:28:43,15-07-2019 06:28:43,15-07-2019 06:28:53
43,AGP_Basement,15-07-2019 06:26:41,11.0,3,1,27.685,x,x,15-07-2019 06:27:55,15-07-2019 06:28:22,15-07-2019 06:28:22,x,x,x
44,AGP_Basement,15-07-2019 06:26:41,11.0,4,3,17.948,44.887,9.339,15-07-2019 06:27:54,15-07-2019 06:28:12,15-07-2019 06:28:12,15-07-2019 06:28:57,15-07-2019 06:28:57,15-07-2019 06:29:06
45,AGP_Basement,15-07-2019 06:26:41,11.0,5,2,25.644,31.641,x,15-07-2019 06:27:54,15-07-2019 06:28:20,15-07-2019 06:28:20,15-07-2019 06:28:51,15-07-2019 06:28:51,x
46,AGP_Basement,15-07-2019 06:30:12,1.0,1,3,20.824,29.209,9.509,15-07-2019 06:31:27,15-07-2019 06:31:47,15-07-2019 06:31:47,15-07-2019 06:32:17,15-07-2019 06:32:17,15-07-2019 06:32:26
