,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Basement,18-07-2019 13:01:38,0.0,1,3,22.587,39.2,10.635,18-07-2019 13:02:06,18-07-2019 13:02:29,18-07-2019 13:02:29,18-07-2019 13:03:08,18-07-2019 13:03:08,18-07-2019 13:03:19
2,AGP_Basement,18-07-2019 13:01:38,0.0,2,3,41.779,30.205,9.035,18-07-2019 13:02:08,18-07-2019 13:02:50,18-07-2019 13:02:50,18-07-2019 13:03:20,18-07-2019 13:03:20,18-07-2019 13:03:29
3,AGP_Basement,18-07-2019 13:01:38,0.0,3,3,49.458,35.385,11.546,18-07-2019 13:02:07,18-07-2019 13:02:57,18-07-2019 13:02:57,18-07-2019 13:03:32,18-07-2019 13:03:32,18-07-2019 13:03:44
4,AGP_Basement,18-07-2019 13:01:38,0.0,4,3,33.032,47.388,8.756,18-07-2019 13:02:07,18-07-2019 13:02:40,18-07-2019 13:02:40,18-07-2019 13:03:27,18-07-2019 13:03:27,18-07-2019 13:03:36
5,AGP_Basement,18-07-2019 13:01:38,0.0,5,3,38.805,33.574,12.274,18-07-2019 13:02:07,18-07-2019 13:02:46,18-07-2019 13:02:46,18-07-2019 13:03:19,18-07-2019 13:03:19,18-07-2019 13:03:31
6,AGP_Basement,18-07-2019 13:04:19,0.0,1,3,22.384,38.347,10.093,18-07-2019 13:04:47,18-07-2019 13:05:10,18-07-2019 13:05:10,18-07-2019 13:05:48,18-07-2019 13:05:48,18-07-2019 13:05:58
7,AGP_Basement,18-07-2019 13:04:19,0.0,2,3,37.374,33.117,9.138,18-07-2019 13:04:49,18-07-2019 13:05:26,18-07-2019 13:05:26,18-07-2019 13:05:59,18-07-2019 13:05:59,18-07-2019 13:06:09
8,AGP_Basement,18-07-2019 13:04:19,0.0,3,3,44.195,38.727,11.847,18-07-2019 13:04:48,18-07-2019 13:05:33,18-07-2019 13:05:33,18-07-2019 13:06:11,18-07-2019 13:06:11,18-07-2019 13:06:23
9,AGP_Basement,18-07-2019 13:04:19,0.0,4,3,31.793,50.054,8.154,18-07-2019 13:04:48,18-07-2019 13:05:20,18-07-2019 13:05:20,18-07-2019 13:06:10,18-07-2019 13:06:10,18-07-2019 13:06:18
10,AGP_Basement,18-07-2019 13:04:19,0.0,5,3,40.351,30.484,12.253,18-07-2019 13:04:48,18-07-2019 13:05:28,18-07-2019 13:05:28,18-07-2019 13:05:58,18-07-2019 13:05:58,18-07-2019 13:06:11
