,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Floor4,16-07-2019 04:28:44,1.0,1,3,40.948,10.445,6.723,16-07-2019 04:29:00,16-07-2019 04:29:41,16-07-2019 04:29:41,16-07-2019 04:29:51,16-07-2019 04:29:51,16-07-2019 04:29:58
2,AGP_Floor4,16-07-2019 04:28:44,1.0,2,3,26.391,7.947,14.544,16-07-2019 04:29:00,16-07-2019 04:29:27,16-07-2019 04:29:27,16-07-2019 04:29:35,16-07-2019 04:29:35,16-07-2019 04:29:49
3,AGP_Floor4,16-07-2019 04:28:44,1.0,3,3,13.819,23.376,9.543,16-07-2019 04:29:00,16-07-2019 04:29:14,16-07-2019 04:29:14,16-07-2019 04:29:37,16-07-2019 04:29:37,16-07-2019 04:29:47
4,AGP_Floor4,16-07-2019 04:28:44,1.0,4,3,10.275,13.431,8.087,16-07-2019 04:29:00,16-07-2019 04:29:10,16-07-2019 04:29:10,16-07-2019 04:29:24,16-07-2019 04:29:24,16-07-2019 04:29:32
5,AGP_Floor4,16-07-2019 04:28:44,1.0,5,3,18.449,19.308,7.359,16-07-2019 04:29:00,16-07-2019 04:29:18,16-07-2019 04:29:18,16-07-2019 04:29:38,16-07-2019 04:29:38,16-07-2019 04:29:45
6,AGP_Floor4,16-07-2019 04:32:15,155.0,1,0,x,x,x,16-07-2019 04:32:30,x,x,x,x,x
7,AGP_Floor4,16-07-2019 04:32:15,155.0,2,1,24.856,x,x,16-07-2019 04:32:31,16-07-2019 04:32:56,16-07-2019 04:32:56,x,x,x
8,AGP_Floor4,16-07-2019 04:32:15,155.0,3,3,9.711,18.947,12.521,16-07-2019 04:32:31,16-07-2019 04:32:40,16-07-2019 04:32:40,16-07-2019 04:32:59,16-07-2019 04:32:59,16-07-2019 04:33:12
9,AGP_Floor4,16-07-2019 04:32:15,155.0,4,1,25.019,x,x,16-07-2019 04:32:31,16-07-2019 04:32:56,16-07-2019 04:32:56,x,x,x
10,AGP_Floor4,16-07-2019 04:32:15,155.0,5,1,14.458,x,x,16-07-2019 04:32:30,16-07-2019 04:32:45,16-07-2019 04:32:45,x,x,x
11,AGP_Floor4,16-07-2019 04:35:45,0.0,1,3,39.733,10.04,6.723,16-07-2019 04:36:01,16-07-2019 04:36:40,16-07-2019 04:36:40,16-07-2019 04:36:50,16-07-2019 04:36:50,16-07-2019 04:36:57
12,AGP_Floor4,16-07-2019 04:35:45,0.0,2,3,24.912,7.949,14.64,16-07-2019 04:36:01,16-07-2019 04:36:26,16-07-2019 04:36:26,16-07-2019 04:36:34,16-07-2019 04:36:34,16-07-2019 04:36:49
13,AGP_Floor4,16-07-2019 04:35:45,0.0,3,3,23.035,12.844,9.442,16-07-2019 04:36:01,16-07-2019 04:36:24,16-07-2019 04:36:24,16-07-2019 04:36:37,16-07-2019 04:36:37,16-07-2019 04:36:46
14,AGP_Floor4,16-07-2019 04:35:45,0.0,4,3,10.22,8.957,8.148,16-07-2019 04:36:01,16-07-2019 04:36:11,16-07-2019 04:36:11,16-07-2019 04:36:20,16-07-2019 04:36:20,16-07-2019 04:36:28
15,AGP_Floor4,16-07-2019 04:35:45,0.0,5,3,13.633,22.632,7.328,16-07-2019 04:36:01,16-07-2019 04:36:14,16-07-2019 04:36:14,16-07-2019 04:36:37,16-07-2019 04:36:37,16-07-2019 04:36:44
16,AGP_Floor4,16-07-2019 04:39:16,5.0,1,3,38.447,15.367,6.721,16-07-2019 04:39:31,16-07-2019 04:40:10,16-07-2019 04:40:10,16-07-2019 04:40:25,16-07-2019 04:40:25,16-07-2019 04:40:32
17,AGP_Floor4,16-07-2019 04:39:16,5.0,2,3,20.847,7.896,13.278,16-07-2019 04:39:32,16-07-2019 04:39:53,16-07-2019 04:39:53,16-07-2019 04:40:00,16-07-2019 04:40:00,16-07-2019 04:40:14
18,AGP_Floor4,16-07-2019 04:39:16,5.0,3,3,12.693,29.419,9.636,16-07-2019 04:39:32,16-07-2019 04:39:44,16-07-2019 04:39:44,16-07-2019 04:40:14,16-07-2019 04:40:14,16-07-2019 04:40:23
19,AGP_Floor4,16-07-2019 04:39:16,5.0,4,3,10.018,21.699,7.999,16-07-2019 04:39:32,16-07-2019 04:39:42,16-07-2019 04:39:42,16-07-2019 04:40:03,16-07-2019 04:40:03,16-07-2019 04:40:11
