,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Floor4,16-07-2019 24:49:12,3.0,1,3,30.446,10.544,6.722,16-07-2019 24:49:19,16-07-2019 24:49:49,16-07-2019 24:49:49,16-07-2019 24:50:00,16-07-2019 24:50:00,16-07-2019 24:50:07
2,AGP_Floor4,16-07-2019 24:49:12,3.0,2,3,25.899,7.935,16.243,16-07-2019 24:49:20,16-07-2019 24:49:45,16-07-2019 24:49:45,16-07-2019 24:49:53,16-07-2019 24:49:53,16-07-2019 24:50:10
3,AGP_Floor4,16-07-2019 24:49:12,3.0,3,3,10.878,9.185,14.383,16-07-2019 24:49:19,16-07-2019 24:49:30,16-07-2019 24:49:30,16-07-2019 24:49:39,16-07-2019 24:49:39,16-07-2019 24:49:54
4,AGP_Floor4,16-07-2019 24:49:12,3.0,4,3,14.613,9.205,8.634,16-07-2019 24:49:19,16-07-2019 24:49:34,16-07-2019 24:49:34,16-07-2019 24:49:43,16-07-2019 24:49:43,16-07-2019 24:49:52
5,AGP_Floor4,16-07-2019 24:49:12,3.0,5,3,23.482,13.783,11.334,16-07-2019 24:49:19,16-07-2019 24:49:43,16-07-2019 24:49:43,16-07-2019 24:49:56,16-07-2019 24:49:56,16-07-2019 24:50:08
6,AGP_Floor4,16-07-2019 24:51:23,3.0,1,3,21.074,28.494,6.719,16-07-2019 24:51:29,16-07-2019 24:51:50,16-07-2019 24:51:50,16-07-2019 24:52:18,16-07-2019 24:52:18,16-07-2019 24:52:25
7,AGP_Floor4,16-07-2019 24:51:23,3.0,2,3,20.936,7.931,11.75,16-07-2019 24:51:29,16-07-2019 24:51:50,16-07-2019 24:51:50,16-07-2019 24:51:58,16-07-2019 24:51:58,16-07-2019 24:52:10
8,AGP_Floor4,16-07-2019 24:51:23,3.0,3,3,14.365,19.709,9.238,16-07-2019 24:51:29,16-07-2019 24:51:43,16-07-2019 24:51:43,16-07-2019 24:52:03,16-07-2019 24:52:03,16-07-2019 24:52:12
9,AGP_Floor4,16-07-2019 24:51:23,3.0,4,3,10.623,21.139,14.255,16-07-2019 24:51:29,16-07-2019 24:51:39,16-07-2019 24:51:39,16-07-2019 24:52:01,16-07-2019 24:52:01,16-07-2019 24:52:15
10,AGP_Floor4,16-07-2019 24:51:23,3.0,5,3,36.619,9.641,11.23,16-07-2019 24:51:29,16-07-2019 24:52:05,16-07-2019 24:52:05,16-07-2019 24:52:15,16-07-2019 24:52:15,16-07-2019 24:52:26
11,AGP_Floor4,16-07-2019 24:53:33,6.0,1,2,30.569,22.383,x,16-07-2019 24:53:39,16-07-2019 24:54:10,16-07-2019 24:54:10,16-07-2019 24:54:32,16-07-2019 24:54:32,x
12,AGP_Floor4,16-07-2019 24:53:33,6.0,2,3,30.844,7.861,12.77,16-07-2019 24:53:40,16-07-2019 24:54:11,16-07-2019 24:54:11,16-07-2019 24:54:18,16-07-2019 24:54:18,16-07-2019 24:54:31
13,AGP_Floor4,16-07-2019 24:53:33,6.0,3,3,13.656,31.3,13.351,16-07-2019 24:53:40,16-07-2019 24:53:53,16-07-2019 24:53:53,16-07-2019 24:54:25,16-07-2019 24:54:25,16-07-2019 24:54:38
14,AGP_Floor4,16-07-2019 24:53:33,6.0,4,3,10.654,37.475,8.034,16-07-2019 24:53:40,16-07-2019 24:53:50,16-07-2019 24:53:50,16-07-2019 24:54:28,16-07-2019 24:54:28,16-07-2019 24:54:36
15,AGP_Floor4,16-07-2019 24:53:33,6.0,5,3,19.053,23.087,7.26,16-07-2019 24:53:39,16-07-2019 24:53:58,16-07-2019 24:53:58,16-07-2019 24:54:21,16-07-2019 24:54:21,16-07-2019 24:54:29
16,AGP_Floor4,16-07-2019 24:55:43,3.0,1,3,43.745,15.945,6.824,16-07-2019 24:55:49,16-07-2019 24:56:33,16-07-2019 24:56:33,16-07-2019 24:56:49,16-07-2019 24:56:49,16-07-2019 24:56:56
17,AGP_Floor4,16-07-2019 24:55:43,3.0,2,3,31.882,7.939,13.257,16-07-2019 24:55:50,16-07-2019 24:56:22,16-07-2019 24:56:22,16-07-2019 24:56:30,16-07-2019 24:56:30,16-07-2019 24:56:43
