,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Floor4,15-07-2019 22:59:53,0.0,1,3,27.459,15.077,6.942,15-07-2019 22:59:59,15-07-2019 23:00:27,15-07-2019 23:00:27,15-07-2019 23:00:42,15-07-2019 23:00:42,15-07-2019 23:00:49
2,AGP_Floor4,15-07-2019 22:59:53,0.0,2,3,16.615,8.054,13.074,15-07-2019 23:00:00,15-07-2019 23:00:16,15-07-2019 23:00:16,15-07-2019 23:00:24,15-07-2019 23:00:24,15-07-2019 23:00:37
3,AGP_Floor4,15-07-2019 22:59:53,0.0,3,3,11.214,19.929,9.57,15-07-2019 23:00:00,15-07-2019 23:00:11,15-07-2019 23:00:11,15-07-2019 23:00:31,15-07-2019 23:00:31,15-07-2019 23:00:41
4,AGP_Floor4,15-07-2019 22:59:53,0.0,4,3,33.829,9.246,8.733,15-07-2019 23:00:00,15-07-2019 23:00:33,15-07-2019 23:00:33,15-07-2019 23:00:43,15-07-2019 23:00:43,15-07-2019 23:00:51
5,AGP_Floor4,15-07-2019 22:59:53,0.0,5,3,13.931,13.995,7.433,15-07-2019 22:59:59,15-07-2019 23:00:13,15-07-2019 23:00:13,15-07-2019 23:00:27,15-07-2019 23:00:27,15-07-2019 23:00:35
6,AGP_Floor4,15-07-2019 23:02:04,3.0,1,3,25.737,19.286,6.523,15-07-2019 23:02:10,15-07-2019 23:02:35,15-07-2019 23:02:35,15-07-2019 23:02:55,15-07-2019 23:02:55,15-07-2019 23:03:01
7,AGP_Floor4,15-07-2019 23:02:04,3.0,2,3,15.073,11.156,8.893,15-07-2019 23:02:10,15-07-2019 23:02:25,15-07-2019 23:02:25,15-07-2019 23:02:36,15-07-2019 23:02:36,15-07-2019 23:02:45
8,AGP_Floor4,15-07-2019 23:02:04,3.0,3,3,34.555,7.729,10.137,15-07-2019 23:02:10,15-07-2019 23:02:45,15-07-2019 23:02:45,15-07-2019 23:02:52,15-07-2019 23:02:52,15-07-2019 23:03:03
9,AGP_Floor4,15-07-2019 23:02:04,3.0,4,3,10.859,26.51,9.635,15-07-2019 23:02:10,15-07-2019 23:02:21,15-07-2019 23:02:21,15-07-2019 23:02:47,15-07-2019 23:02:47,15-07-2019 23:02:57
10,AGP_Floor4,15-07-2019 23:02:04,3.0,5,3,13.53,22.725,7.33,15-07-2019 23:02:10,15-07-2019 23:02:23,15-07-2019 23:02:23,15-07-2019 23:02:46,15-07-2019 23:02:46,15-07-2019 23:02:53
11,AGP_Floor4,15-07-2019 23:04:14,3.0,1,3,26.089,19.882,6.622,15-07-2019 23:04:20,15-07-2019 23:04:46,15-07-2019 23:04:46,15-07-2019 23:05:06,15-07-2019 23:05:06,15-07-2019 23:05:13
12,AGP_Floor4,15-07-2019 23:04:14,3.0,2,3,14.95,7.953,9.753,15-07-2019 23:04:21,15-07-2019 23:04:36,15-07-2019 23:04:36,15-07-2019 23:04:44,15-07-2019 23:04:44,15-07-2019 23:04:53
13,AGP_Floor4,15-07-2019 23:04:14,3.0,3,3,37.488,7.527,9.735,15-07-2019 23:04:21,15-07-2019 23:04:58,15-07-2019 23:04:58,15-07-2019 23:05:06,15-07-2019 23:05:06,15-07-2019 23:05:15
