,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,AGP_Floor4,16-07-2019 02:38:58,4.0,1,3,26.88,25.768,6.616,16-07-2019 02:39:34,16-07-2019 02:40:00,16-07-2019 02:40:00,16-07-2019 02:40:26,16-07-2019 02:40:26,16-07-2019 02:40:33
2,AGP_Floor4,16-07-2019 02:38:58,4.0,2,3,11.69,8.134,8.712,16-07-2019 02:39:34,16-07-2019 02:39:46,16-07-2019 02:39:46,16-07-2019 02:39:54,16-07-2019 02:39:54,16-07-2019 02:40:03
3,AGP_Floor4,16-07-2019 02:38:58,4.0,3,3,32.376,7.735,12.737,16-07-2019 02:39:34,16-07-2019 02:40:06,16-07-2019 02:40:06,16-07-2019 02:40:14,16-07-2019 02:40:14,16-07-2019 02:40:27
4,AGP_Floor4,16-07-2019 02:38:58,4.0,4,3,15.164,24.936,8.232,16-07-2019 02:39:34,16-07-2019 02:39:49,16-07-2019 02:39:49,16-07-2019 02:40:14,16-07-2019 02:40:14,16-07-2019 02:40:22
5,AGP_Floor4,16-07-2019 02:38:58,4.0,5,3,23.077,14.146,13.539,16-07-2019 02:39:34,16-07-2019 02:39:57,16-07-2019 02:39:57,16-07-2019 02:40:11,16-07-2019 02:40:11,16-07-2019 02:40:25
6,AGP_Floor4,16-07-2019 02:41:08,1.0,1,3,31.53,15.186,6.627,16-07-2019 02:41:14,16-07-2019 02:41:46,16-07-2019 02:41:46,16-07-2019 02:42:01,16-07-2019 02:42:01,16-07-2019 02:42:07
7,AGP_Floor4,16-07-2019 02:41:08,1.0,2,3,25.563,8.436,14.254,16-07-2019 02:41:14,16-07-2019 02:41:40,16-07-2019 02:41:40,16-07-2019 02:41:48,16-07-2019 02:41:48,16-07-2019 02:42:03
8,AGP_Floor4,16-07-2019 02:41:08,1.0,3,3,13.916,7.599,9.749,16-07-2019 02:41:14,16-07-2019 02:41:28,16-07-2019 02:41:28,16-07-2019 02:41:36,16-07-2019 02:41:36,16-07-2019 02:41:46
9,AGP_Floor4,16-07-2019 02:41:08,1.0,4,3,9.918,10.297,7.857,16-07-2019 02:41:14,16-07-2019 02:41:24,16-07-2019 02:41:24,16-07-2019 02:41:34,16-07-2019 02:41:34,16-07-2019 02:41:42
10,AGP_Floor4,16-07-2019 02:41:08,1.0,5,3,24.236,13.066,7.526,16-07-2019 02:41:14,16-07-2019 02:41:38,16-07-2019 02:41:38,16-07-2019 02:41:51,16-07-2019 02:41:51,16-07-2019 02:41:59
11,AGP_Floor4,16-07-2019 02:43:19,4.0,1,3,33.524,14.674,6.622,16-07-2019 02:43:24,16-07-2019 02:43:58,16-07-2019 02:43:58,16-07-2019 02:44:13,16-07-2019 02:44:13,16-07-2019 02:44:19
12,AGP_Floor4,16-07-2019 02:43:19,4.0,2,3,11.274,12.088,10.643,16-07-2019 02:43:25,16-07-2019 02:43:36,16-07-2019 02:43:36,16-07-2019 02:43:48,16-07-2019 02:43:48,16-07-2019 02:43:59
13,AGP_Floor4,16-07-2019 02:43:19,4.0,3,3,25.154,13.169,9.738,16-07-2019 02:43:25,16-07-2019 02:43:50,16-07-2019 02:43:50,16-07-2019 02:44:03,16-07-2019 02:44:03,16-07-2019 02:44:13
14,AGP_Floor4,16-07-2019 02:43:19,4.0,4,3,21.264,15.288,8.153,16-07-2019 02:43:25,16-07-2019 02:43:46,16-07-2019 02:43:46,16-07-2019 02:44:01,16-07-2019 02:44:01,16-07-2019 02:44:09
15,AGP_Floor4,16-07-2019 02:43:19,4.0,5,3,22.622,12.149,7.352,16-07-2019 02:43:25,16-07-2019 02:43:47,16-07-2019 02:43:47,16-07-2019 02:43:59,16-07-2019 02:43:59,16-07-2019 02:44:07
16,AGP_Floor4,16-07-2019 02:45:29,4.0,1,3,36.508,16.855,6.62,16-07-2019 02:45:35,16-07-2019 02:46:11,16-07-2019 02:46:11,16-07-2019 02:46:28,16-07-2019 02:46:28,16-07-2019 02:46:35
17,AGP_Floor4,16-07-2019 02:45:29,4.0,2,3,20.181,8.243,11.588,16-07-2019 02:45:35,16-07-2019 02:45:56,16-07-2019 02:45:56,16-07-2019 02:46:04,16-07-2019 02:46:04,16-07-2019 02:46:15
18,AGP_Floor4,16-07-2019 02:45:29,4.0,3,3,13.136,26.884,11.784,16-07-2019 02:45:35,16-07-2019 02:45:48,16-07-2019 02:45:48,16-07-2019 02:46:15,16-07-2019 02:46:15,16-07-2019 02:46:27
19,AGP_Floor4,16-07-2019 02:45:29,4.0,4,3,10.143,31.322,8.335,16-07-2019 02:45:35,16-07-2019 02:45:45,16-07-2019 02:45:45,16-07-2019 02:46:17,16-07-2019 02:46:17,16-07-2019 02:46:25
20,AGP_Floor4,16-07-2019 02:45:29,4.0,5,3,18.036,22.707,7.349,16-07-2019 02:45:35,16-07-2019 02:45:53,16-07-2019 02:45:53,16-07-2019 02:46:16,16-07-2019 02:46:16,16-07-2019 02:46:23
21,AGP_Floor4,16-07-2019 02:47:40,3.0,1,3,35.651,14.858,6.722,16-07-2019 02:47:46,16-07-2019 02:48:21,16-07-2019 02:48:21,16-07-2019 02:48:36,16-07-2019 02:48:36,16-07-2019 02:48:43
22,AGP_Floor4,16-07-2019 02:47:40,3.0,2,3,17.705,8.003,8.933,16-07-2019 02:47:46,16-07-2019 02:48:04,16-07-2019 02:48:04,16-07-2019 02:48:12,16-07-2019 02:48:12,16-07-2019 02:48:21
23,AGP_Floor4,16-07-2019 02:47:40,3.0,3,3,17.073,21.967,9.444,16-07-2019 02:47:46,16-07-2019 02:48:03,16-07-2019 02:48:03,16-07-2019 02:48:25,16-07-2019 02:48:25,16-07-2019 02:48:34
24,AGP_Floor4,16-07-2019 02:47:40,3.0,4,3,10.213,27.744,8.129,16-07-2019 02:47:46,16-07-2019 02:47:56,16-07-2019 02:47:56,16-07-2019 02:48:24,16-07-2019 02:48:24,16-07-2019 02:48:32
25,AGP_Floor4,16-07-2019 02:47:40,3.0,5,3,15.681,20.982,7.532,16-07-2019 02:47:46,16-07-2019 02:48:01,16-07-2019 02:48:01,16-07-2019 02:48:22,16-07-2019 02:48:22,16-07-2019 02:48:30
26,AGP_Floor4,16-07-2019 02:49:51,4.0,1,3,38.442,14.257,6.624,16-07-2019 02:49:56,16-07-2019 02:50:35,16-07-2019 02:50:35,16-07-2019 02:50:49,16-07-2019 02:50:49,16-07-2019 02:50:56
27,AGP_Floor4,16-07-2019 02:49:51,4.0,2,3,24.125,7.956,9.006,16-07-2019 02:49:57,16-07-2019 02:50:21,16-07-2019 02:50:21,16-07-2019 02:50:29,16-07-2019 02:50:29,16-07-2019 02:50:38
28,AGP_Floor4,16-07-2019 02:49:51,4.0,3,3,17.468,15.726,9.948,16-07-2019 02:49:57,16-07-2019 02:50:14,16-07-2019 02:50:14,16-07-2019 02:50:30,16-07-2019 02:50:30,16-07-2019 02:50:40
29,AGP_Floor4,16-07-2019 02:49:51,4.0,4,3,10.068,34.901,9.332,16-07-2019 02:49:57,16-07-2019 02:50:07,16-07-2019 02:50:07,16-07-2019 02:50:41,16-07-2019 02:50:41,16-07-2019 02:50:51
30,AGP_Floor4,16-07-2019 02:49:51,4.0,5,3,19.527,24.419,7.543,16-07-2019 02:49:56,16-07-2019 02:50:16,16-07-2019 02:50:16,16-07-2019 02:50:40,16-07-2019 02:50:40,16-07-2019 02:50:48
31,AGP_Floor4,16-07-2019 02:52:01,2.0,1,3,33.459,16.161,6.526,16-07-2019 02:52:07,16-07-2019 02:52:40,16-07-2019 02:52:40,16-07-2019 02:52:56,16-07-2019 02:52:56,16-07-2019 02:53:03
32,AGP_Floor4,16-07-2019 02:52:01,2.0,2,3,24.454,8.645,11.557,16-07-2019 02:52:07,16-07-2019 02:52:32,16-07-2019 02:52:32,16-07-2019 02:52:40,16-07-2019 02:52:40,16-07-2019 02:52:52
33,AGP_Floor4,16-07-2019 02:52:01,2.0,3,3,13.09,7.543,9.843,16-07-2019 02:52:07,16-07-2019 02:52:20,16-07-2019 02:52:20,16-07-2019 02:52:28,16-07-2019 02:52:28,16-07-2019 02:52:38
34,AGP_Floor4,16-07-2019 02:52:01,2.0,4,3,10.27,9.538,7.946,16-07-2019 02:52:07,16-07-2019 02:52:17,16-07-2019 02:52:17,16-07-2019 02:52:27,16-07-2019 02:52:27,16-07-2019 02:52:35
35,AGP_Floor4,16-07-2019 02:52:01,2.0,5,3,23.321,12.473,7.528,16-07-2019 02:52:07,16-07-2019 02:52:30,16-07-2019 02:52:30,16-07-2019 02:52:43,16-07-2019 02:52:43,16-07-2019 02:52:50
36,AGP_Floor4,16-07-2019 02:54:12,2.0,1,3,48.143,10.147,6.822,16-07-2019 02:54:18,16-07-2019 02:55:06,16-07-2019 02:55:06,16-07-2019 02:55:16,16-07-2019 02:55:16,16-07-2019 02:55:23
37,AGP_Floor4,16-07-2019 02:54:12,2.0,2,3,27.213,7.852,12.81,16-07-2019 02:54:18,16-07-2019 02:54:45,16-07-2019 02:54:45,16-07-2019 02:54:53,16-07-2019 02:54:53,16-07-2019 02:55:06
38,AGP_Floor4,16-07-2019 02:54:12,2.0,3,3,25.743,14.197,9.87,16-07-2019 02:54:18,16-07-2019 02:54:44,16-07-2019 02:54:44,16-07-2019 02:54:58,16-07-2019 02:54:58,16-07-2019 02:55:08
39,AGP_Floor4,16-07-2019 02:54:12,2.0,4,3,11.321,33.311,8.237,16-07-2019 02:54:18,16-07-2019 02:54:29,16-07-2019 02:54:29,16-07-2019 02:55:02,16-07-2019 02:55:02,16-07-2019 02:55:11
40,AGP_Floor4,16-07-2019 02:54:12,2.0,5,3,13.823,24.775,7.452,16-07-2019 02:54:18,16-07-2019 02:54:32,16-07-2019 02:54:32,16-07-2019 02:54:56,16-07-2019 02:54:56,16-07-2019 02:55:04
41,AGP_Floor4,16-07-2019 02:56:23,2.0,1,3,27.835,13.856,6.725,16-07-2019 02:56:28,16-07-2019 02:56:56,16-07-2019 02:56:56,16-07-2019 02:57:10,16-07-2019 02:57:10,16-07-2019 02:57:17
42,AGP_Floor4,16-07-2019 02:56:23,2.0,2,3,20.897,8.146,11.942,16-07-2019 02:56:29,16-07-2019 02:56:50,16-07-2019 02:56:50,16-07-2019 02:56:58,16-07-2019 02:56:58,16-07-2019 02:57:10
43,AGP_Floor4,16-07-2019 02:56:23,2.0,3,3,18.857,14.34,17.651,16-07-2019 02:56:29,16-07-2019 02:56:48,16-07-2019 02:56:48,16-07-2019 02:57:02,16-07-2019 02:57:02,16-07-2019 02:57:20
44,AGP_Floor4,16-07-2019 02:56:23,2.0,4,3,11.439,27.045,10.842,16-07-2019 02:56:29,16-07-2019 02:56:40,16-07-2019 02:56:40,16-07-2019 02:57:07,16-07-2019 02:57:07,16-07-2019 02:57:18
45,AGP_Floor4,16-07-2019 02:56:23,2.0,5,3,18.534,13.575,7.435,16-07-2019 02:56:28,16-07-2019 02:56:47,16-07-2019 02:56:47,16-07-2019 02:57:01,16-07-2019 02:57:01,16-07-2019 02:57:08
46,AGP_Floor4,16-07-2019 02:58:34,3.0,1,3,29.251,15.651,6.822,16-07-2019 02:58:39,16-07-2019 02:59:08,16-07-2019 02:59:08,16-07-2019 02:59:24,16-07-2019 02:59:24,16-07-2019 02:59:31
47,AGP_Floor4,16-07-2019 02:58:34,3.0,2,3,21.966,9.553,12.407,16-07-2019 02:58:40,16-07-2019 02:59:02,16-07-2019 02:59:02,16-07-2019 02:59:11,16-07-2019 02:59:11,16-07-2019 02:59:24
48,AGP_Floor4,16-07-2019 02:58:34,3.0,3,3,18.934,19.86,14.251,16-07-2019 02:58:40,16-07-2019 02:58:59,16-07-2019 02:58:59,16-07-2019 02:59:18,16-07-2019 02:59:18,16-07-2019 02:59:33
49,AGP_Floor4,16-07-2019 02:58:34,3.0,4,3,11.487,25.37,8.862,16-07-2019 02:58:40,16-07-2019 02:58:51,16-07-2019 02:58:51,16-07-2019 02:59:16,16-07-2019 02:59:16,16-07-2019 02:59:25
50,AGP_Floor4,16-07-2019 02:58:34,3.0,5,3,20.106,14.517,7.474,16-07-2019 02:58:39,16-07-2019 02:59:00,16-07-2019 02:59:00,16-07-2019 02:59:14,16-07-2019 02:59:14,16-07-2019 02:59:22
51,AGP_Floor4,16-07-2019 03:00:44,6.0,1,3,34.397,14.657,6.825,16-07-2019 03:00:50,16-07-2019 03:01:25,16-07-2019 03:01:25,16-07-2019 03:01:39,16-07-2019 03:01:39,16-07-2019 03:01:46
52,AGP_Floor4,16-07-2019 03:00:44,6.0,2,3,20.182,8.049,8.686,16-07-2019 03:00:51,16-07-2019 03:01:11,16-07-2019 03:01:11,16-07-2019 03:01:19,16-07-2019 03:01:19,16-07-2019 03:01:28
53,AGP_Floor4,16-07-2019 03:00:44,6.0,3,3,14.057,30.025,12.945,16-07-2019 03:00:51,16-07-2019 03:01:05,16-07-2019 03:01:05,16-07-2019 03:01:35,16-07-2019 03:01:35,16-07-2019 03:01:48
54,AGP_Floor4,16-07-2019 03:00:44,6.0,4,3,9.82,31.231,8.033,16-07-2019 03:00:50,16-07-2019 03:01:00,16-07-2019 03:01:00,16-07-2019 03:01:31,16-07-2019 03:01:31,16-07-2019 03:01:40
55,AGP_Floor4,16-07-2019 03:00:44,6.0,5,3,19.17,19.675,7.426,16-07-2019 03:00:50,16-07-2019 03:01:10,16-07-2019 03:01:10,16-07-2019 03:01:29,16-07-2019 03:01:29,16-07-2019 03:01:37
56,AGP_Floor4,16-07-2019 03:02:55,3.0,1,3,32.281,16.85,6.724,16-07-2019 03:03:01,16-07-2019 03:03:33,16-07-2019 03:03:33,16-07-2019 03:03:50,16-07-2019 03:03:50,16-07-2019 03:03:57
57,AGP_Floor4,16-07-2019 03:02:55,3.0,2,3,13.611,15.05,19.556,16-07-2019 03:03:01,16-07-2019 03:03:15,16-07-2019 03:03:15,16-07-2019 03:03:30,16-07-2019 03:03:30,16-07-2019 03:03:50
58,AGP_Floor4,16-07-2019 03:02:55,3.0,3,3,22.216,10.437,13.752,16-07-2019 03:03:01,16-07-2019 03:03:24,16-07-2019 03:03:24,16-07-2019 03:03:34,16-07-2019 03:03:34,16-07-2019 03:03:48
59,AGP_Floor4,16-07-2019 03:02:55,3.0,4,3,11.106,16.842,8.439,16-07-2019 03:03:01,16-07-2019 03:03:12,16-07-2019 03:03:12,16-07-2019 03:03:29,16-07-2019 03:03:29,16-07-2019 03:03:38
60,AGP_Floor4,16-07-2019 03:02:55,3.0,5,3,23.635,13.647,7.33,16-07-2019 03:03:01,16-07-2019 03:03:25,16-07-2019 03:03:25,16-07-2019 03:03:38,16-07-2019 03:03:38,16-07-2019 03:03:46
61,AGP_Floor4,16-07-2019 03:05:06,3.0,1,3,37.869,12.144,6.717,16-07-2019 03:05:12,16-07-2019 03:05:50,16-07-2019 03:05:50,16-07-2019 03:06:02,16-07-2019 03:06:02,16-07-2019 03:06:09
62,AGP_Floor4,16-07-2019 03:05:06,3.0,2,3,21.491,8.035,12.766,16-07-2019 03:05:13,16-07-2019 03:05:34,16-07-2019 03:05:34,16-07-2019 03:05:42,16-07-2019 03:05:42,16-07-2019 03:05:55
63,AGP_Floor4,16-07-2019 03:05:06,3.0,3,3,18.799,14.441,10.967,16-07-2019 03:05:13,16-07-2019 03:05:31,16-07-2019 03:05:31,16-07-2019 03:05:46,16-07-2019 03:05:46,16-07-2019 03:05:57
64,AGP_Floor4,16-07-2019 03:05:06,3.0,4,3,11.415,20.831,8.135,16-07-2019 03:05:12,16-07-2019 03:05:24,16-07-2019 03:05:24,16-07-2019 03:05:45,16-07-2019 03:05:45,16-07-2019 03:05:53
65,AGP_Floor4,16-07-2019 03:05:06,3.0,5,3,19.418,5.257,7.582,16-07-2019 03:05:12,16-07-2019 03:05:32,16-07-2019 03:05:32,16-07-2019 03:05:37,16-07-2019 03:05:37,16-07-2019 03:05:45
66,AGP_Floor4,16-07-2019 03:07:18,2.0,1,3,32.108,18.192,6.723,16-07-2019 03:07:23,16-07-2019 03:07:55,16-07-2019 03:07:55,16-07-2019 03:08:14,16-07-2019 03:08:14,16-07-2019 03:08:20
67,AGP_Floor4,16-07-2019 03:07:18,2.0,2,3,19.594,7.945,16.854,16-07-2019 03:07:24,16-07-2019 03:07:43,16-07-2019 03:07:43,16-07-2019 03:07:51,16-07-2019 03:07:51,16-07-2019 03:08:08
68,AGP_Floor4,16-07-2019 03:07:18,2.0,3,3,14.614,21.436,12.448,16-07-2019 03:07:24,16-07-2019 03:07:38,16-07-2019 03:07:38,16-07-2019 03:08:00,16-07-2019 03:08:00,16-07-2019 03:08:12
