,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,30-06-2019 06:03:45,0.0,1,3,51.555,10.182,13.191,30-06-2019 06:04:32,30-06-2019 06:05:23,30-06-2019 06:05:23,30-06-2019 06:05:34,30-06-2019 06:05:34,30-06-2019 06:05:47
2,BRSU_Floor0,30-06-2019 06:03:45,0.0,2,3,47.186,13.067,59.157,30-06-2019 06:04:33,30-06-2019 06:05:20,30-06-2019 06:05:20,30-06-2019 06:05:33,30-06-2019 06:05:33,30-06-2019 06:06:32
3,BRSU_Floor0,30-06-2019 06:03:45,0.0,3,3,37.671,13.303,15.937,30-06-2019 06:04:33,30-06-2019 06:05:10,30-06-2019 06:05:10,30-06-2019 06:05:24,30-06-2019 06:05:24,30-06-2019 06:05:40
4,BRSU_Floor0,30-06-2019 06:03:45,0.0,4,3,28.9,14.745,11.465,30-06-2019 06:04:32,30-06-2019 06:05:01,30-06-2019 06:05:01,30-06-2019 06:05:16,30-06-2019 06:05:16,30-06-2019 06:05:28
5,BRSU_Floor0,30-06-2019 06:03:45,0.0,5,3,24.315,8.351,17.458,30-06-2019 06:04:32,30-06-2019 06:04:57,30-06-2019 06:04:57,30-06-2019 06:05:05,30-06-2019 06:05:05,30-06-2019 06:05:22
6,BRSU_Floor0,30-06-2019 06:07:15,0.0,1,3,48.48,10.241,13.26,30-06-2019 06:08:02,30-06-2019 06:08:51,30-06-2019 06:08:51,30-06-2019 06:09:01,30-06-2019 06:09:01,30-06-2019 06:09:14
7,BRSU_Floor0,30-06-2019 06:07:15,0.0,2,3,33.649,13.126,16.792,30-06-2019 06:08:03,30-06-2019 06:08:37,30-06-2019 06:08:37,30-06-2019 06:08:50,30-06-2019 06:08:50,30-06-2019 06:09:07
8,BRSU_Floor0,30-06-2019 06:07:15,0.0,3,3,32.51,16.894,16.568,30-06-2019 06:08:03,30-06-2019 06:08:35,30-06-2019 06:08:35,30-06-2019 06:08:52,30-06-2019 06:08:52,30-06-2019 06:09:09
9,BRSU_Floor0,30-06-2019 06:07:15,0.0,4,3,26.032,13.397,11.579,30-06-2019 06:08:03,30-06-2019 06:08:29,30-06-2019 06:08:29,30-06-2019 06:08:42,30-06-2019 06:08:42,30-06-2019 06:08:54
10,BRSU_Floor0,30-06-2019 06:07:15,0.0,5,3,19.624,10.009,12.755,30-06-2019 06:08:02,30-06-2019 06:08:22,30-06-2019 06:08:22,30-06-2019 06:08:32,30-06-2019 06:08:32,30-06-2019 06:08:45
11,BRSU_Floor0,30-06-2019 06:10:46,0.0,1,3,52.873,10.139,14.571,30-06-2019 06:11:33,30-06-2019 06:12:26,30-06-2019 06:12:26,30-06-2019 06:12:36,30-06-2019 06:12:36,30-06-2019 06:12:50
12,BRSU_Floor0,30-06-2019 06:10:46,0.0,2,3,38.383,13.279,19.583,30-06-2019 06:11:34,30-06-2019 06:12:12,30-06-2019 06:12:12,30-06-2019 06:12:26,30-06-2019 06:12:26,30-06-2019 06:12:45
13,BRSU_Floor0,30-06-2019 06:10:46,0.0,3,3,27.574,14.989,22.368,30-06-2019 06:11:34,30-06-2019 06:12:01,30-06-2019 06:12:01,30-06-2019 06:12:16,30-06-2019 06:12:16,30-06-2019 06:12:39
14,BRSU_Floor0,30-06-2019 06:10:46,0.0,4,3,50.365,12.054,11.554,30-06-2019 06:11:33,30-06-2019 06:12:24,30-06-2019 06:12:24,30-06-2019 06:12:36,30-06-2019 06:12:36,30-06-2019 06:12:47
15,BRSU_Floor0,30-06-2019 06:10:46,0.0,5,3,30.745,12.067,12.964,30-06-2019 06:11:33,30-06-2019 06:12:04,30-06-2019 06:12:04,30-06-2019 06:12:16,30-06-2019 06:12:16,30-06-2019 06:12:29
16,BRSU_Floor0,30-06-2019 06:14:16,0.0,1,3,50.695,10.262,13.36,30-06-2019 06:15:03,30-06-2019 06:15:54,30-06-2019 06:15:54,30-06-2019 06:16:04,30-06-2019 06:16:04,30-06-2019 06:16:17
17,BRSU_Floor0,30-06-2019 06:14:16,0.0,2,3,46.452,13.217,10.783,30-06-2019 06:15:04,30-06-2019 06:15:50,30-06-2019 06:15:50,30-06-2019 06:16:04,30-06-2019 06:16:04,30-06-2019 06:16:14
18,BRSU_Floor0,30-06-2019 06:14:16,0.0,3,3,36.535,13.39,12.056,30-06-2019 06:15:04,30-06-2019 06:15:40,30-06-2019 06:15:40,30-06-2019 06:15:54,30-06-2019 06:15:54,30-06-2019 06:16:06
19,BRSU_Floor0,30-06-2019 06:14:16,0.0,4,3,31.487,12.176,11.512,30-06-2019 06:15:03,30-06-2019 06:15:35,30-06-2019 06:15:35,30-06-2019 06:15:47,30-06-2019 06:15:47,30-06-2019 06:15:59
20,BRSU_Floor0,30-06-2019 06:14:16,0.0,5,3,26.408,8.373,23.408,30-06-2019 06:15:03,30-06-2019 06:15:30,30-06-2019 06:15:30,30-06-2019 06:15:38,30-06-2019 06:15:38,30-06-2019 06:16:01
21,BRSU_Floor0,30-06-2019 06:17:47,0.0,1,3,62.755,10.136,13.271,30-06-2019 06:18:33,30-06-2019 06:19:36,30-06-2019 06:19:36,30-06-2019 06:19:46,30-06-2019 06:19:46,30-06-2019 06:19:59
22,BRSU_Floor0,30-06-2019 06:17:47,0.0,2,3,44.647,13.171,11.951,30-06-2019 06:18:34,30-06-2019 06:19:19,30-06-2019 06:19:19,30-06-2019 06:19:32,30-06-2019 06:19:32,30-06-2019 06:19:44
23,BRSU_Floor0,30-06-2019 06:17:47,0.0,3,3,43.5,19.378,18.378,30-06-2019 06:18:34,30-06-2019 06:19:18,30-06-2019 06:19:18,30-06-2019 06:19:37,30-06-2019 06:19:37,30-06-2019 06:19:55
24,BRSU_Floor0,30-06-2019 06:17:47,0.0,4,3,41.917,17.471,12.674,30-06-2019 06:18:34,30-06-2019 06:19:16,30-06-2019 06:19:16,30-06-2019 06:19:33,30-06-2019 06:19:33,30-06-2019 06:19:46
25,BRSU_Floor0,30-06-2019 06:17:47,0.0,5,3,28.447,8.251,18.171,30-06-2019 06:18:34,30-06-2019 06:19:02,30-06-2019 06:19:02,30-06-2019 06:19:10,30-06-2019 06:19:10,30-06-2019 06:19:28
26,BRSU_Floor0,30-06-2019 06:21:17,0.0,1,3,52.343,10.087,17.499,30-06-2019 06:22:04,30-06-2019 06:22:56,30-06-2019 06:22:56,30-06-2019 06:23:07,30-06-2019 06:23:07,30-06-2019 06:23:24
27,BRSU_Floor0,30-06-2019 06:21:17,0.0,2,3,48.966,13.194,14.752,30-06-2019 06:22:05,30-06-2019 06:22:54,30-06-2019 06:22:54,30-06-2019 06:23:07,30-06-2019 06:23:07,30-06-2019 06:23:22
