,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,02-07-2019 04:55:31,0.0,1,3,51.657,14.681,12.253,02-07-2019 04:56:53,02-07-2019 04:57:45,02-07-2019 04:57:45,02-07-2019 04:57:59,02-07-2019 04:57:59,02-07-2019 04:58:12
2,BRSU_Floor0,02-07-2019 04:55:31,0.0,2,3,26.907,13.463,11.975,02-07-2019 04:56:55,02-07-2019 04:57:22,02-07-2019 04:57:22,02-07-2019 04:57:35,02-07-2019 04:57:35,02-07-2019 04:57:47
3,BRSU_Floor0,02-07-2019 04:55:31,0.0,3,3,55.619,17.76,11.253,02-07-2019 04:56:54,02-07-2019 04:57:50,02-07-2019 04:57:50,02-07-2019 04:58:08,02-07-2019 04:58:08,02-07-2019 04:58:19
4,BRSU_Floor0,02-07-2019 04:55:31,0.0,4,3,25.606,11.077,11.142,02-07-2019 04:56:54,02-07-2019 04:57:20,02-07-2019 04:57:20,02-07-2019 04:57:31,02-07-2019 04:57:31,02-07-2019 04:57:42
5,BRSU_Floor0,02-07-2019 04:55:31,0.0,5,3,52.138,12.246,14.252,02-07-2019 04:56:54,02-07-2019 04:57:46,02-07-2019 04:57:46,02-07-2019 04:57:58,02-07-2019 04:57:58,02-07-2019 04:58:12
6,BRSU_Floor0,02-07-2019 04:55:31,0.0,6,3,38.644,10.243,12.28,02-07-2019 04:56:54,02-07-2019 04:57:32,02-07-2019 04:57:32,02-07-2019 04:57:43,02-07-2019 04:57:43,02-07-2019 04:57:55
7,BRSU_Floor0,02-07-2019 04:55:31,0.0,7,3,23.256,13.349,14.704,02-07-2019 04:56:53,02-07-2019 04:57:17,02-07-2019 04:57:17,02-07-2019 04:57:30,02-07-2019 04:57:30,02-07-2019 04:57:45
8,BRSU_Floor0,02-07-2019 04:59:12,1.0,1,3,43.494,13.461,12.306,02-07-2019 05:00:33,02-07-2019 05:01:16,02-07-2019 05:01:16,02-07-2019 05:01:30,02-07-2019 05:01:30,02-07-2019 05:01:42
9,BRSU_Floor0,02-07-2019 04:59:12,1.0,2,3,65.362,13.159,12.045,02-07-2019 05:00:34,02-07-2019 05:01:40,02-07-2019 05:01:40,02-07-2019 05:01:53,02-07-2019 05:01:53,02-07-2019 05:02:05
10,BRSU_Floor0,02-07-2019 04:59:12,1.0,3,3,52.948,16.829,11.446,02-07-2019 05:00:34,02-07-2019 05:01:27,02-07-2019 05:01:27,02-07-2019 05:01:44,02-07-2019 05:01:44,02-07-2019 05:01:55
11,BRSU_Floor0,02-07-2019 04:59:12,1.0,4,3,23.135,14.574,11.193,02-07-2019 05:00:34,02-07-2019 05:00:57,02-07-2019 05:00:57,02-07-2019 05:01:11,02-07-2019 05:01:11,02-07-2019 05:01:22
12,BRSU_Floor0,02-07-2019 04:59:12,1.0,5,3,36.638,20.951,12.974,02-07-2019 05:00:33,02-07-2019 05:01:10,02-07-2019 05:01:10,02-07-2019 05:01:31,02-07-2019 05:01:31,02-07-2019 05:01:44
13,BRSU_Floor0,02-07-2019 04:59:12,1.0,6,3,31.263,10.483,12.517,02-07-2019 05:00:33,02-07-2019 05:01:04,02-07-2019 05:01:04,02-07-2019 05:01:15,02-07-2019 05:01:15,02-07-2019 05:01:27
14,BRSU_Floor0,02-07-2019 04:59:12,1.0,7,3,20.845,13.449,12.187,02-07-2019 05:00:33,02-07-2019 05:00:54,02-07-2019 05:00:54,02-07-2019 05:01:07,02-07-2019 05:01:07,02-07-2019 05:01:19
15,BRSU_Floor0,02-07-2019 05:02:52,0.0,1,3,42.265,14.088,16.465,02-07-2019 05:04:13,02-07-2019 05:04:55,02-07-2019 05:04:55,02-07-2019 05:05:09,02-07-2019 05:05:09,02-07-2019 05:05:26
16,BRSU_Floor0,02-07-2019 05:02:52,0.0,2,3,28.416,13.588,12.752,02-07-2019 05:04:15,02-07-2019 05:04:43,02-07-2019 05:04:43,02-07-2019 05:04:57,02-07-2019 05:04:57,02-07-2019 05:05:09
17,BRSU_Floor0,02-07-2019 05:02:52,0.0,3,3,51.543,11.257,11.66,02-07-2019 05:04:14,02-07-2019 05:05:06,02-07-2019 05:05:06,02-07-2019 05:05:17,02-07-2019 05:05:17,02-07-2019 05:05:29
18,BRSU_Floor0,02-07-2019 05:02:52,0.0,4,3,36.528,20.014,11.347,02-07-2019 05:04:14,02-07-2019 05:04:51,02-07-2019 05:04:51,02-07-2019 05:05:11,02-07-2019 05:05:11,02-07-2019 05:05:22
19,BRSU_Floor0,02-07-2019 05:02:52,0.0,5,3,23.253,17.105,13.12,02-07-2019 05:04:14,02-07-2019 05:04:37,02-07-2019 05:04:37,02-07-2019 05:04:54,02-07-2019 05:04:54,02-07-2019 05:05:07
20,BRSU_Floor0,02-07-2019 05:02:52,0.0,6,3,27.331,10.258,12.724,02-07-2019 05:04:14,02-07-2019 05:04:41,02-07-2019 05:04:41,02-07-2019 05:04:51,02-07-2019 05:04:51,02-07-2019 05:05:04
21,BRSU_Floor0,02-07-2019 05:02:52,0.0,7,3,26.043,23.934,12.106,02-07-2019 05:04:13,02-07-2019 05:04:39,02-07-2019 05:04:39,02-07-2019 05:05:03,02-07-2019 05:05:03,02-07-2019 05:05:16
22,BRSU_Floor0,02-07-2019 05:06:32,4.0,1,3,41.358,20.553,13.576,02-07-2019 05:07:54,02-07-2019 05:08:35,02-07-2019 05:08:35,02-07-2019 05:08:55,02-07-2019 05:08:55,02-07-2019 05:09:09
23,BRSU_Floor0,02-07-2019 05:06:32,4.0,2,3,24.596,23.816,12.304,02-07-2019 05:07:55,02-07-2019 05:08:20,02-07-2019 05:08:20,02-07-2019 05:08:44,02-07-2019 05:08:44,02-07-2019 05:08:56
24,BRSU_Floor0,02-07-2019 05:06:32,4.0,3,3,42.801,24.11,12.054,02-07-2019 05:07:55,02-07-2019 05:08:38,02-07-2019 05:08:38,02-07-2019 05:09:02,02-07-2019 05:09:02,02-07-2019 05:09:14
25,BRSU_Floor0,02-07-2019 05:06:32,4.0,4,3,43.529,30.545,11.454,02-07-2019 05:07:54,02-07-2019 05:08:38,02-07-2019 05:08:38,02-07-2019 05:09:08,02-07-2019 05:09:08,02-07-2019 05:09:20
26,BRSU_Floor0,02-07-2019 05:06:32,4.0,5,3,42.612,15.359,12.411,02-07-2019 05:07:54,02-07-2019 05:08:37,02-07-2019 05:08:37,02-07-2019 05:08:52,02-07-2019 05:08:52,02-07-2019 05:09:05
27,BRSU_Floor0,02-07-2019 05:06:32,4.0,6,3,23.371,14.888,12.156,02-07-2019 05:07:54,02-07-2019 05:08:17,02-07-2019 05:08:17,02-07-2019 05:08:32,02-07-2019 05:08:32,02-07-2019 05:08:45
28,BRSU_Floor0,02-07-2019 05:06:32,4.0,7,3,35.988,15.164,13.106,02-07-2019 05:07:54,02-07-2019 05:08:30,02-07-2019 05:08:30,02-07-2019 05:08:45,02-07-2019 05:08:45,02-07-2019 05:08:58
29,BRSU_Floor0,02-07-2019 05:10:13,0.0,1,3,36.217,14.738,17.313,02-07-2019 05:11:36,02-07-2019 05:12:12,02-07-2019 05:12:12,02-07-2019 05:12:27,02-07-2019 05:12:27,02-07-2019 05:12:44
30,BRSU_Floor0,02-07-2019 05:10:13,0.0,2,3,43.211,14.581,11.963,02-07-2019 05:11:38,02-07-2019 05:12:21,02-07-2019 05:12:21,02-07-2019 05:12:35,02-07-2019 05:12:35,02-07-2019 05:12:47
31,BRSU_Floor0,02-07-2019 05:10:13,0.0,3,3,13.959,11.121,11.54,02-07-2019 05:11:37,02-07-2019 05:11:51,02-07-2019 05:11:51,02-07-2019 05:12:02,02-07-2019 05:12:02,02-07-2019 05:12:14
32,BRSU_Floor0,02-07-2019 05:10:13,0.0,4,3,48.98,11.862,11.781,02-07-2019 05:11:37,02-07-2019 05:12:26,02-07-2019 05:12:26,02-07-2019 05:12:38,02-07-2019 05:12:38,02-07-2019 05:12:49
33,BRSU_Floor0,02-07-2019 05:10:13,0.0,5,3,38.117,12.832,13.364,02-07-2019 05:11:37,02-07-2019 05:12:15,02-07-2019 05:12:15,02-07-2019 05:12:28,02-07-2019 05:12:28,02-07-2019 05:12:41
34,BRSU_Floor0,02-07-2019 05:10:13,0.0,6,3,32.106,16.97,12.127,02-07-2019 05:11:37,02-07-2019 05:12:09,02-07-2019 05:12:09,02-07-2019 05:12:26,02-07-2019 05:12:26,02-07-2019 05:12:38
