,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,10-06-2019 17:59:29,0.0,1,3,32.107,13.497,12.157,10-06-2019 17:59:36,10-06-2019 18:00:08,10-06-2019 18:00:08,10-06-2019 18:00:21,10-06-2019 18:00:21,10-06-2019 18:00:33
2,BRSU_Floor0,10-06-2019 17:59:29,0.0,2,3,28.913,10.441,20.268,10-06-2019 17:59:36,10-06-2019 18:00:05,10-06-2019 18:00:05,10-06-2019 18:00:16,10-06-2019 18:00:16,10-06-2019 18:00:36
3,BRSU_Floor0,10-06-2019 17:59:29,0.0,3,3,18.398,13.47,11.614,10-06-2019 17:59:36,10-06-2019 17:59:55,10-06-2019 17:59:55,10-06-2019 18:00:08,10-06-2019 18:00:08,10-06-2019 18:00:20
4,BRSU_Floor0,10-06-2019 18:01:18,0.0,1,3,28.808,13.257,12.552,10-06-2019 18:01:25,10-06-2019 18:01:54,10-06-2019 18:01:54,10-06-2019 18:02:07,10-06-2019 18:02:07,10-06-2019 18:02:19
5,BRSU_Floor0,10-06-2019 18:01:18,0.0,2,3,25.53,10.461,15.356,10-06-2019 18:01:25,10-06-2019 18:01:51,10-06-2019 18:01:51,10-06-2019 18:02:01,10-06-2019 18:02:01,10-06-2019 18:02:17
6,BRSU_Floor0,10-06-2019 18:01:18,0.0,3,3,13.768,13.459,11.552,10-06-2019 18:01:25,10-06-2019 18:01:39,10-06-2019 18:01:39,10-06-2019 18:01:52,10-06-2019 18:01:52,10-06-2019 18:02:04
7,BRSU_Floor0,10-06-2019 18:02:35,0.0,1,3,19.057,17.759,12.055,10-06-2019 18:02:41,10-06-2019 18:03:01,10-06-2019 18:03:01,10-06-2019 18:03:18,10-06-2019 18:03:18,10-06-2019 18:03:30
8,BRSU_Floor0,10-06-2019 18:02:35,0.0,2,3,21.225,10.547,19.424,10-06-2019 18:02:42,10-06-2019 18:03:03,10-06-2019 18:03:03,10-06-2019 18:03:14,10-06-2019 18:03:14,10-06-2019 18:03:33
9,BRSU_Floor0,10-06-2019 18:02:35,0.0,3,3,13.989,13.782,11.491,10-06-2019 18:02:42,10-06-2019 18:02:56,10-06-2019 18:02:56,10-06-2019 18:03:10,10-06-2019 18:03:10,10-06-2019 18:03:21
10,BRSU_Floor0,10-06-2019 18:04:17,0.0,1,3,23.798,13.332,12.15,10-06-2019 18:04:24,10-06-2019 18:04:47,10-06-2019 18:04:47,10-06-2019 18:05:01,10-06-2019 18:05:01,10-06-2019 18:05:13
11,BRSU_Floor0,10-06-2019 18:04:17,0.0,2,3,14.664,11.398,13.649,10-06-2019 18:04:24,10-06-2019 18:04:39,10-06-2019 18:04:39,10-06-2019 18:04:50,10-06-2019 18:04:50,10-06-2019 18:05:04
12,BRSU_Floor0,10-06-2019 18:04:17,0.0,3,3,18.155,13.533,11.752,10-06-2019 18:04:24,10-06-2019 18:04:42,10-06-2019 18:04:42,10-06-2019 18:04:56,10-06-2019 18:04:56,10-06-2019 18:05:07
13,BRSU_Floor0,10-06-2019 18:05:58,0.0,1,3,29.759,12.161,12.206,10-06-2019 18:06:04,10-06-2019 18:06:34,10-06-2019 18:06:34,10-06-2019 18:06:46,10-06-2019 18:06:46,10-06-2019 18:06:59
14,BRSU_Floor0,10-06-2019 18:05:58,0.0,2,3,26.762,15.291,13.681,10-06-2019 18:06:05,10-06-2019 18:06:32,10-06-2019 18:06:32,10-06-2019 18:06:47,10-06-2019 18:06:47,10-06-2019 18:07:01
15,BRSU_Floor0,10-06-2019 18:05:58,0.0,3,3,14.067,13.735,11.56,10-06-2019 18:06:05,10-06-2019 18:06:19,10-06-2019 18:06:19,10-06-2019 18:06:33,10-06-2019 18:06:33,10-06-2019 18:06:44
