,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,30-06-2019 02:24:14,0.0,1,3,31.976,15.355,24.995,30-06-2019 02:24:21,30-06-2019 02:24:53,30-06-2019 02:24:53,30-06-2019 02:25:09,30-06-2019 02:25:09,30-06-2019 02:25:34
2,BRSU_Floor0,30-06-2019 02:24:14,0.0,2,3,35.078,15.889,16.176,30-06-2019 02:24:22,30-06-2019 02:24:57,30-06-2019 02:24:57,30-06-2019 02:25:13,30-06-2019 02:25:13,30-06-2019 02:25:30
3,BRSU_Floor0,30-06-2019 02:24:14,0.0,3,3,19.114,13.248,11.464,30-06-2019 02:24:22,30-06-2019 02:24:41,30-06-2019 02:24:41,30-06-2019 02:24:55,30-06-2019 02:24:55,30-06-2019 02:25:06
4,BRSU_Floor0,30-06-2019 02:24:14,0.0,4,3,35.29,15.48,11.568,30-06-2019 02:24:22,30-06-2019 02:24:57,30-06-2019 02:24:57,30-06-2019 02:25:13,30-06-2019 02:25:13,30-06-2019 02:25:24
5,BRSU_Floor0,30-06-2019 02:24:14,0.0,5,3,30.796,8.571,16.181,30-06-2019 02:24:22,30-06-2019 02:24:53,30-06-2019 02:24:53,30-06-2019 02:25:01,30-06-2019 02:25:01,30-06-2019 02:25:17
6,BRSU_Floor0,30-06-2019 02:26:25,0.0,1,3,37.302,10.377,15.373,30-06-2019 02:26:31,30-06-2019 02:27:09,30-06-2019 02:27:09,30-06-2019 02:27:19,30-06-2019 02:27:19,30-06-2019 02:27:34
7,BRSU_Floor0,30-06-2019 02:26:25,0.0,2,3,22.966,13.003,12.221,30-06-2019 02:26:32,30-06-2019 02:26:55,30-06-2019 02:26:55,30-06-2019 02:27:08,30-06-2019 02:27:08,30-06-2019 02:27:21
8,BRSU_Floor0,30-06-2019 02:26:25,0.0,3,3,34.123,13.255,12.469,30-06-2019 02:26:32,30-06-2019 02:27:06,30-06-2019 02:27:06,30-06-2019 02:27:20,30-06-2019 02:27:20,30-06-2019 02:27:32
9,BRSU_Floor0,30-06-2019 02:26:25,0.0,4,3,28.13,12.631,11.553,30-06-2019 02:26:32,30-06-2019 02:27:00,30-06-2019 02:27:00,30-06-2019 02:27:13,30-06-2019 02:27:13,30-06-2019 02:27:24
10,BRSU_Floor0,30-06-2019 02:26:25,0.0,5,3,12.998,8.422,13.378,30-06-2019 02:26:32,30-06-2019 02:26:45,30-06-2019 02:26:45,30-06-2019 02:26:53,30-06-2019 02:26:53,30-06-2019 02:27:07
11,BRSU_Floor0,30-06-2019 02:28:35,0.0,1,3,40.322,10.154,13.467,30-06-2019 02:28:42,30-06-2019 02:29:22,30-06-2019 02:29:22,30-06-2019 02:29:32,30-06-2019 02:29:32,30-06-2019 02:29:46
12,BRSU_Floor0,30-06-2019 02:28:35,0.0,2,3,27.875,16.042,16.009,30-06-2019 02:28:43,30-06-2019 02:29:11,30-06-2019 02:29:11,30-06-2019 02:29:27,30-06-2019 02:29:27,30-06-2019 02:29:43
13,BRSU_Floor0,30-06-2019 02:28:35,0.0,3,3,30.878,14.877,11.365,30-06-2019 02:28:43,30-06-2019 02:29:14,30-06-2019 02:29:14,30-06-2019 02:29:28,30-06-2019 02:29:28,30-06-2019 02:29:40
14,BRSU_Floor0,30-06-2019 02:28:35,0.0,4,3,22.809,13.217,11.726,30-06-2019 02:28:43,30-06-2019 02:29:05,30-06-2019 02:29:05,30-06-2019 02:29:19,30-06-2019 02:29:19,30-06-2019 02:29:30
15,BRSU_Floor0,30-06-2019 02:28:35,0.0,5,3,18.593,8.369,15.666,30-06-2019 02:28:42,30-06-2019 02:29:01,30-06-2019 02:29:01,30-06-2019 02:29:09,30-06-2019 02:29:09,30-06-2019 02:29:25
16,BRSU_Floor0,30-06-2019 02:30:46,0.0,1,3,36.094,10.341,15.568,30-06-2019 02:30:53,30-06-2019 02:31:30,30-06-2019 02:31:30,30-06-2019 02:31:40,30-06-2019 02:31:40,30-06-2019 02:31:55
17,BRSU_Floor0,30-06-2019 02:30:46,0.0,2,3,25.745,16.285,12.354,30-06-2019 02:30:55,30-06-2019 02:31:20,30-06-2019 02:31:20,30-06-2019 02:31:37,30-06-2019 02:31:37,30-06-2019 02:31:49
18,BRSU_Floor0,30-06-2019 02:30:46,0.0,3,3,32.564,19.671,11.759,30-06-2019 02:30:54,30-06-2019 02:31:27,30-06-2019 02:31:27,30-06-2019 02:31:46,30-06-2019 02:31:46,30-06-2019 02:31:58
19,BRSU_Floor0,30-06-2019 02:30:46,0.0,4,3,29.285,23.676,12.861,30-06-2019 02:30:54,30-06-2019 02:31:23,30-06-2019 02:31:23,30-06-2019 02:31:47,30-06-2019 02:31:47,30-06-2019 02:32:00
20,BRSU_Floor0,30-06-2019 02:30:46,0.0,5,3,12.752,8.399,17.694,30-06-2019 02:30:54,30-06-2019 02:31:07,30-06-2019 02:31:07,30-06-2019 02:31:15,30-06-2019 02:31:15,30-06-2019 02:31:33
21,BRSU_Floor0,30-06-2019 02:32:56,0.0,1,3,27.207,12.698,13.388,30-06-2019 02:33:03,30-06-2019 02:33:30,30-06-2019 02:33:30,30-06-2019 02:33:43,30-06-2019 02:33:43,30-06-2019 02:33:56
22,BRSU_Floor0,30-06-2019 02:32:56,0.0,2,3,32.296,13.262,17.555,30-06-2019 02:33:04,30-06-2019 02:33:36,30-06-2019 02:33:36,30-06-2019 02:33:49,30-06-2019 02:33:49,30-06-2019 02:34:07
23,BRSU_Floor0,30-06-2019 02:32:56,0.0,3,3,35.545,13.187,12.256,30-06-2019 02:33:04,30-06-2019 02:33:39,30-06-2019 02:33:39,30-06-2019 02:33:52,30-06-2019 02:33:52,30-06-2019 02:34:05
24,BRSU_Floor0,30-06-2019 02:32:56,0.0,4,3,29.422,17.204,11.651,30-06-2019 02:33:03,30-06-2019 02:33:33,30-06-2019 02:33:33,30-06-2019 02:33:50,30-06-2019 02:33:50,30-06-2019 02:34:02
25,BRSU_Floor0,30-06-2019 02:32:56,0.0,5,3,13.419,8.748,18.746,30-06-2019 02:33:03,30-06-2019 02:33:17,30-06-2019 02:33:17,30-06-2019 02:33:25,30-06-2019 02:33:25,30-06-2019 02:33:44
26,BRSU_Floor0,30-06-2019 02:35:07,0.0,1,3,32.441,11.685,17.673,30-06-2019 02:35:14,30-06-2019 02:35:46,30-06-2019 02:35:46,30-06-2019 02:35:58,30-06-2019 02:35:58,30-06-2019 02:36:16
27,BRSU_Floor0,30-06-2019 02:35:07,0.0,2,3,22.59,15.891,20.184,30-06-2019 02:35:15,30-06-2019 02:35:37,30-06-2019 02:35:37,30-06-2019 02:35:53,30-06-2019 02:35:53,30-06-2019 02:36:13
28,BRSU_Floor0,30-06-2019 02:35:07,0.0,3,3,29.753,13.292,11.454,30-06-2019 02:35:14,30-06-2019 02:35:44,30-06-2019 02:35:44,30-06-2019 02:35:57,30-06-2019 02:35:57,30-06-2019 02:36:09
29,BRSU_Floor0,30-06-2019 02:35:07,0.0,4,3,26.113,18.21,12.358,30-06-2019 02:35:14,30-06-2019 02:35:40,30-06-2019 02:35:40,30-06-2019 02:35:59,30-06-2019 02:35:59,30-06-2019 02:36:11
30,BRSU_Floor0,30-06-2019 02:35:07,0.0,5,3,12.723,8.395,12.708,30-06-2019 02:35:14,30-06-2019 02:35:27,30-06-2019 02:35:27,30-06-2019 02:35:35,30-06-2019 02:35:35,30-06-2019 02:35:48
31,BRSU_Floor0,30-06-2019 02:37:17,1.0,1,3,38.798,12.86,15.359,30-06-2019 02:37:24,30-06-2019 02:38:03,30-06-2019 02:38:03,30-06-2019 02:38:16,30-06-2019 02:38:16,30-06-2019 02:38:31
32,BRSU_Floor0,30-06-2019 02:37:17,1.0,2,3,25.551,13.058,12.259,30-06-2019 02:37:25,30-06-2019 02:37:51,30-06-2019 02:37:51,30-06-2019 02:38:04,30-06-2019 02:38:04,30-06-2019 02:38:16
33,BRSU_Floor0,30-06-2019 02:37:17,1.0,3,3,39.234,13.26,11.468,30-06-2019 02:37:25,30-06-2019 02:38:04,30-06-2019 02:38:04,30-06-2019 02:38:17,30-06-2019 02:38:17,30-06-2019 02:38:29
34,BRSU_Floor0,30-06-2019 02:37:17,1.0,4,3,29.115,15.764,11.368,30-06-2019 02:37:25,30-06-2019 02:37:54,30-06-2019 02:37:54,30-06-2019 02:38:10,30-06-2019 02:38:10,30-06-2019 02:38:21
35,BRSU_Floor0,30-06-2019 02:37:17,1.0,5,3,12.898,8.46,19.79,30-06-2019 02:37:25,30-06-2019 02:37:37,30-06-2019 02:37:37,30-06-2019 02:37:46,30-06-2019 02:37:46,30-06-2019 02:38:06
36,BRSU_Floor0,30-06-2019 02:39:28,0.0,1,3,28.453,10.351,13.506,30-06-2019 02:39:35,30-06-2019 02:40:03,30-06-2019 02:40:03,30-06-2019 02:40:14,30-06-2019 02:40:14,30-06-2019 02:40:27
37,BRSU_Floor0,30-06-2019 02:39:28,0.0,2,3,24.395,22.215,13.754,30-06-2019 02:39:36,30-06-2019 02:40:00,30-06-2019 02:40:00,30-06-2019 02:40:22,30-06-2019 02:40:22,30-06-2019 02:40:36
38,BRSU_Floor0,30-06-2019 02:39:28,0.0,3,3,40.109,16.565,11.472,30-06-2019 02:39:35,30-06-2019 02:40:16,30-06-2019 02:40:16,30-06-2019 02:40:32,30-06-2019 02:40:32,30-06-2019 02:40:44
39,BRSU_Floor0,30-06-2019 02:39:28,0.0,4,3,31.5,15.459,11.657,30-06-2019 02:39:35,30-06-2019 02:40:07,30-06-2019 02:40:07,30-06-2019 02:40:22,30-06-2019 02:40:22,30-06-2019 02:40:34
40,BRSU_Floor0,30-06-2019 02:39:28,0.0,5,3,13.081,8.358,15.739,30-06-2019 02:39:35,30-06-2019 02:39:48,30-06-2019 02:39:48,30-06-2019 02:39:56,30-06-2019 02:39:56,30-06-2019 02:40:12
41,BRSU_Floor0,30-06-2019 02:41:39,0.0,1,3,31.169,19.73,15.332,30-06-2019 02:41:45,30-06-2019 02:42:17,30-06-2019 02:42:17,30-06-2019 02:42:36,30-06-2019 02:42:36,30-06-2019 02:42:52
42,BRSU_Floor0,30-06-2019 02:41:39,0.0,2,3,26.358,13.168,12.654,30-06-2019 02:41:46,30-06-2019 02:42:13,30-06-2019 02:42:13,30-06-2019 02:42:26,30-06-2019 02:42:26,30-06-2019 02:42:39
43,BRSU_Floor0,30-06-2019 02:41:39,0.0,3,3,40.986,13.823,11.863,30-06-2019 02:41:46,30-06-2019 02:42:27,30-06-2019 02:42:27,30-06-2019 02:42:41,30-06-2019 02:42:41,30-06-2019 02:42:53
44,BRSU_Floor0,30-06-2019 02:41:39,0.0,4,3,24.082,26.702,11.969,30-06-2019 02:41:46,30-06-2019 02:42:10,30-06-2019 02:42:10,30-06-2019 02:42:37,30-06-2019 02:42:37,30-06-2019 02:42:49
45,BRSU_Floor0,30-06-2019 02:41:39,0.0,5,3,36.877,8.346,13.566,30-06-2019 02:41:46,30-06-2019 02:42:23,30-06-2019 02:42:23,30-06-2019 02:42:31,30-06-2019 02:42:31,30-06-2019 02:42:45
46,BRSU_Floor0,30-06-2019 02:43:50,0.0,1,3,27.521,20.746,19.201,30-06-2019 02:43:56,30-06-2019 02:44:24,30-06-2019 02:44:24,30-06-2019 02:44:45,30-06-2019 02:44:45,30-06-2019 02:45:04
47,BRSU_Floor0,30-06-2019 02:43:50,0.0,2,3,23.367,14.026,12.158,30-06-2019 02:43:57,30-06-2019 02:44:21,30-06-2019 02:44:21,30-06-2019 02:44:35,30-06-2019 02:44:35,30-06-2019 02:44:47
48,BRSU_Floor0,30-06-2019 02:43:50,0.0,3,3,35.331,12.962,14.064,30-06-2019 02:43:57,30-06-2019 02:44:33,30-06-2019 02:44:33,30-06-2019 02:44:46,30-06-2019 02:44:46,30-06-2019 02:45:00
49,BRSU_Floor0,30-06-2019 02:43:50,0.0,4,3,39.107,12.463,12.677,30-06-2019 02:43:57,30-06-2019 02:44:36,30-06-2019 02:44:36,30-06-2019 02:44:49,30-06-2019 02:44:49,30-06-2019 02:45:01
50,BRSU_Floor0,30-06-2019 02:43:50,0.0,5,3,13.242,8.374,13.238,30-06-2019 02:43:57,30-06-2019 02:44:10,30-06-2019 02:44:10,30-06-2019 02:44:18,30-06-2019 02:44:18,30-06-2019 02:44:32
51,BRSU_Floor0,30-06-2019 02:46:01,0.0,1,3,26.173,22.776,13.567,30-06-2019 02:46:07,30-06-2019 02:46:33,30-06-2019 02:46:33,30-06-2019 02:46:56,30-06-2019 02:46:56,30-06-2019 02:47:10
52,BRSU_Floor0,30-06-2019 02:46:01,0.0,2,3,28.091,13.388,12.386,30-06-2019 02:46:08,30-06-2019 02:46:36,30-06-2019 02:46:36,30-06-2019 02:46:50,30-06-2019 02:46:50,30-06-2019 02:47:02
53,BRSU_Floor0,30-06-2019 02:46:01,0.0,3,3,40.885,13.199,11.554,30-06-2019 02:46:08,30-06-2019 02:46:49,30-06-2019 02:46:49,30-06-2019 02:47:02,30-06-2019 02:47:02,30-06-2019 02:47:13
54,BRSU_Floor0,30-06-2019 02:46:01,0.0,4,3,19.841,15.452,11.36,30-06-2019 02:46:08,30-06-2019 02:46:27,30-06-2019 02:46:27,30-06-2019 02:46:43,30-06-2019 02:46:43,30-06-2019 02:46:54
55,BRSU_Floor0,30-06-2019 02:46:01,0.0,5,3,37.697,8.335,12.963,30-06-2019 02:46:07,30-06-2019 02:46:45,30-06-2019 02:46:45,30-06-2019 02:46:53,30-06-2019 02:46:53,30-06-2019 02:47:06
56,BRSU_Floor0,30-06-2019 02:48:12,1.0,1,3,28.436,11.549,18.565,30-06-2019 02:48:18,30-06-2019 02:48:47,30-06-2019 02:48:47,30-06-2019 02:48:58,30-06-2019 02:48:58,30-06-2019 02:49:17
57,BRSU_Floor0,30-06-2019 02:48:12,1.0,2,3,24.528,13.582,12.354,30-06-2019 02:48:19,30-06-2019 02:48:44,30-06-2019 02:48:44,30-06-2019 02:48:57,30-06-2019 02:48:57,30-06-2019 02:49:10
58,BRSU_Floor0,30-06-2019 02:48:12,1.0,3,3,36.37,13.089,11.355,30-06-2019 02:48:19,30-06-2019 02:48:55,30-06-2019 02:48:55,30-06-2019 02:49:08,30-06-2019 02:49:08,30-06-2019 02:49:20
59,BRSU_Floor0,30-06-2019 02:48:12,1.0,4,3,29.658,13.488,11.35,30-06-2019 02:48:19,30-06-2019 02:48:48,30-06-2019 02:48:48,30-06-2019 02:49:02,30-06-2019 02:49:02,30-06-2019 02:49:13
60,BRSU_Floor0,30-06-2019 02:48:12,1.0,5,3,12.854,8.316,16.136,30-06-2019 02:48:18,30-06-2019 02:48:31,30-06-2019 02:48:31,30-06-2019 02:48:40,30-06-2019 02:48:40,30-06-2019 02:48:56
