,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,14-07-2019 02:54:22,0.0,1,3,31.901,20.873,21.777,14-07-2019 02:54:45,14-07-2019 02:55:17,14-07-2019 02:55:17,14-07-2019 02:55:38,14-07-2019 02:55:38,14-07-2019 02:56:00
2,BRSU_Floor0,14-07-2019 02:54:22,0.0,2,3,21.937,20.205,21.028,14-07-2019 02:54:46,14-07-2019 02:55:08,14-07-2019 02:55:08,14-07-2019 02:55:29,14-07-2019 02:55:29,14-07-2019 02:55:50
3,BRSU_Floor0,14-07-2019 02:54:22,0.0,3,3,44.332,25.234,18.382,14-07-2019 02:54:46,14-07-2019 02:55:30,14-07-2019 02:55:30,14-07-2019 02:55:56,14-07-2019 02:55:56,14-07-2019 02:56:14
4,BRSU_Floor0,14-07-2019 02:54:22,0.0,4,3,37.919,15.164,17.17,14-07-2019 02:54:46,14-07-2019 02:55:24,14-07-2019 02:55:24,14-07-2019 02:55:39,14-07-2019 02:55:39,14-07-2019 02:55:56
5,BRSU_Floor0,14-07-2019 02:54:22,0.0,5,3,26.189,14.116,18.202,14-07-2019 02:54:46,14-07-2019 02:55:12,14-07-2019 02:55:12,14-07-2019 02:55:26,14-07-2019 02:55:26,14-07-2019 02:55:44
6,BRSU_Floor0,14-07-2019 02:57:33,28.0,1,3,110.366,14.701,17.495,14-07-2019 02:57:47,14-07-2019 02:59:37,14-07-2019 02:59:37,14-07-2019 02:59:52,14-07-2019 02:59:52,14-07-2019 03:00:10
7,BRSU_Floor0,14-07-2019 02:57:33,28.0,2,3,115.238,19.177,18.295,14-07-2019 02:57:48,14-07-2019 02:59:44,14-07-2019 02:59:44,14-07-2019 03:00:03,14-07-2019 03:00:03,14-07-2019 03:00:21
8,BRSU_Floor0,14-07-2019 02:57:33,28.0,3,2,125.727,24.232,x,14-07-2019 02:57:48,14-07-2019 02:59:54,14-07-2019 02:59:54,14-07-2019 03:00:18,14-07-2019 03:00:18,x
9,BRSU_Floor0,14-07-2019 02:57:33,28.0,4,3,119.3,16.928,22.147,14-07-2019 02:57:48,14-07-2019 02:59:47,14-07-2019 02:59:47,14-07-2019 03:00:04,14-07-2019 03:00:04,14-07-2019 03:00:26
10,BRSU_Floor0,14-07-2019 02:57:33,28.0,5,3,21.824,12.767,86.01,14-07-2019 02:57:47,14-07-2019 02:58:09,14-07-2019 02:58:09,14-07-2019 02:58:22,14-07-2019 02:58:22,14-07-2019 02:59:48
11,BRSU_Floor0,14-07-2019 03:00:44,7.0,1,3,52.135,22.011,25.024,14-07-2019 03:01:02,14-07-2019 03:01:54,14-07-2019 03:01:54,14-07-2019 03:02:16,14-07-2019 03:02:16,14-07-2019 03:02:41
12,BRSU_Floor0,14-07-2019 03:00:44,7.0,2,3,22.49,18.633,19.291,14-07-2019 03:01:03,14-07-2019 03:01:26,14-07-2019 03:01:26,14-07-2019 03:01:44,14-07-2019 03:01:44,14-07-2019 03:02:04
13,BRSU_Floor0,14-07-2019 03:00:44,7.0,3,3,61.454,23.065,21.395,14-07-2019 03:01:03,14-07-2019 03:02:04,14-07-2019 03:02:04,14-07-2019 03:02:27,14-07-2019 03:02:27,14-07-2019 03:02:49
14,BRSU_Floor0,14-07-2019 03:00:44,7.0,4,3,55.947,16.709,17.528,14-07-2019 03:01:03,14-07-2019 03:01:59,14-07-2019 03:01:59,14-07-2019 03:02:15,14-07-2019 03:02:15,14-07-2019 03:02:33
15,BRSU_Floor0,14-07-2019 03:00:44,7.0,5,3,58.213,12.564,21.912,14-07-2019 03:01:02,14-07-2019 03:02:01,14-07-2019 03:02:01,14-07-2019 03:02:13,14-07-2019 03:02:13,14-07-2019 03:02:35
16,BRSU_Floor0,14-07-2019 03:03:54,5.0,1,3,44.942,20.677,18.912,14-07-2019 03:04:07,14-07-2019 03:04:52,14-07-2019 03:04:52,14-07-2019 03:05:13,14-07-2019 03:05:13,14-07-2019 03:05:32
17,BRSU_Floor0,14-07-2019 03:03:54,5.0,2,3,21.164,19.771,18.171,14-07-2019 03:04:09,14-07-2019 03:04:30,14-07-2019 03:04:30,14-07-2019 03:04:50,14-07-2019 03:04:50,14-07-2019 03:05:08
18,BRSU_Floor0,14-07-2019 03:03:54,5.0,3,3,51.324,20.862,18.557,14-07-2019 03:04:08,14-07-2019 03:05:00,14-07-2019 03:05:00,14-07-2019 03:05:21,14-07-2019 03:05:21,14-07-2019 03:05:39
19,BRSU_Floor0,14-07-2019 03:03:54,5.0,4,3,65.212,13.685,18.492,14-07-2019 03:04:08,14-07-2019 03:05:13,14-07-2019 03:05:13,14-07-2019 03:05:27,14-07-2019 03:05:27,14-07-2019 03:05:45
20,BRSU_Floor0,14-07-2019 03:03:54,5.0,5,3,47.868,10.317,17.582,14-07-2019 03:04:08,14-07-2019 03:04:56,14-07-2019 03:04:56,14-07-2019 03:05:06,14-07-2019 03:05:06,14-07-2019 03:05:24
21,BRSU_Floor0,14-07-2019 03:07:04,0.0,1,3,35.436,14.157,26.046,14-07-2019 03:07:18,14-07-2019 03:07:54,14-07-2019 03:07:54,14-07-2019 03:08:08,14-07-2019 03:08:08,14-07-2019 03:08:34
22,BRSU_Floor0,14-07-2019 03:07:04,0.0,2,3,26.303,18.972,24.937,14-07-2019 03:07:20,14-07-2019 03:07:46,14-07-2019 03:07:46,14-07-2019 03:08:05,14-07-2019 03:08:05,14-07-2019 03:08:30
23,BRSU_Floor0,14-07-2019 03:07:04,0.0,3,3,37.734,23.342,19.724,14-07-2019 03:07:19,14-07-2019 03:07:57,14-07-2019 03:07:57,14-07-2019 03:08:21,14-07-2019 03:08:21,14-07-2019 03:08:40
24,BRSU_Floor0,14-07-2019 03:07:04,0.0,4,3,36.117,26.846,22.218,14-07-2019 03:07:19,14-07-2019 03:07:55,14-07-2019 03:07:55,14-07-2019 03:08:22,14-07-2019 03:08:22,14-07-2019 03:08:44
25,BRSU_Floor0,14-07-2019 03:07:04,0.0,5,3,21.224,9.63,18.56,14-07-2019 03:07:19,14-07-2019 03:07:40,14-07-2019 03:07:40,14-07-2019 03:07:50,14-07-2019 03:07:50,14-07-2019 03:08:08
