,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,30-06-2019 24:34:56,0.0,1,3,27.418,10.26,26.871,30-06-2019 24:35:05,30-06-2019 24:35:32,30-06-2019 24:35:32,30-06-2019 24:35:42,30-06-2019 24:35:42,30-06-2019 24:36:09
2,BRSU_Floor0,30-06-2019 24:34:56,0.0,2,3,43.519,13.274,29.283,30-06-2019 24:35:06,30-06-2019 24:35:49,30-06-2019 24:35:49,30-06-2019 24:36:03,30-06-2019 24:36:03,30-06-2019 24:36:32
3,BRSU_Floor0,30-06-2019 24:34:56,0.0,3,3,23.175,17.438,25.865,30-06-2019 24:35:05,30-06-2019 24:35:29,30-06-2019 24:35:29,30-06-2019 24:35:46,30-06-2019 24:35:46,30-06-2019 24:36:12
4,BRSU_Floor0,30-06-2019 24:34:56,0.0,4,3,42.926,15.083,15.256,30-06-2019 24:35:05,30-06-2019 24:35:48,30-06-2019 24:35:48,30-06-2019 24:36:03,30-06-2019 24:36:03,30-06-2019 24:36:18
5,BRSU_Floor0,30-06-2019 24:34:56,0.0,5,3,37.247,10.8,16.916,30-06-2019 24:35:05,30-06-2019 24:35:42,30-06-2019 24:35:42,30-06-2019 24:35:53,30-06-2019 24:35:53,30-06-2019 24:36:10
6,BRSU_Floor0,30-06-2019 24:37:06,1.0,1,3,26.496,10.25,16.305,30-06-2019 24:37:13,30-06-2019 24:37:40,30-06-2019 24:37:40,30-06-2019 24:37:50,30-06-2019 24:37:50,30-06-2019 24:38:06
7,BRSU_Floor0,30-06-2019 24:37:06,1.0,2,3,38.402,13.277,12.716,30-06-2019 24:37:14,30-06-2019 24:37:53,30-06-2019 24:37:53,30-06-2019 24:38:06,30-06-2019 24:38:06,30-06-2019 24:38:19
8,BRSU_Floor0,30-06-2019 24:37:06,1.0,3,3,41.438,13.473,20.878,30-06-2019 24:37:14,30-06-2019 24:37:56,30-06-2019 24:37:56,30-06-2019 24:38:09,30-06-2019 24:38:09,30-06-2019 24:38:30
9,BRSU_Floor0,30-06-2019 24:37:06,1.0,4,3,44.546,12.317,12.464,30-06-2019 24:37:14,30-06-2019 24:37:58,30-06-2019 24:37:58,30-06-2019 24:38:11,30-06-2019 24:38:11,30-06-2019 24:38:23
10,BRSU_Floor0,30-06-2019 24:37:06,1.0,5,3,18.731,10.549,13.106,30-06-2019 24:37:14,30-06-2019 24:37:32,30-06-2019 24:37:32,30-06-2019 24:37:43,30-06-2019 24:37:43,30-06-2019 24:37:56
