,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,18-07-2019 24:27:54,0.0,1,3,29.496,26.152,23.804,18-07-2019 24:28:03,18-07-2019 24:28:32,18-07-2019 24:28:32,18-07-2019 24:28:58,18-07-2019 24:28:58,18-07-2019 24:29:22
2,BRSU_Floor0,18-07-2019 24:27:54,0.0,2,3,24.907,13.46,20.923,18-07-2019 24:28:04,18-07-2019 24:28:28,18-07-2019 24:28:28,18-07-2019 24:28:42,18-07-2019 24:28:42,18-07-2019 24:29:03
3,BRSU_Floor0,18-07-2019 24:27:54,0.0,3,3,36.117,16.085,21.623,18-07-2019 24:28:03,18-07-2019 24:28:39,18-07-2019 24:28:39,18-07-2019 24:28:56,18-07-2019 24:28:56,18-07-2019 24:29:17
4,BRSU_Floor0,18-07-2019 24:27:54,0.0,4,3,22.233,27.181,12.81,18-07-2019 24:28:03,18-07-2019 24:28:25,18-07-2019 24:28:25,18-07-2019 24:28:53,18-07-2019 24:28:53,18-07-2019 24:29:05
5,BRSU_Floor0,18-07-2019 24:27:54,0.0,5,3,36.272,8.351,27.735,18-07-2019 24:28:03,18-07-2019 24:28:39,18-07-2019 24:28:39,18-07-2019 24:28:48,18-07-2019 24:28:48,18-07-2019 24:29:15
6,BRSU_Floor0,18-07-2019 24:30:04,0.0,1,3,35.126,17.125,17.819,18-07-2019 24:30:14,18-07-2019 24:30:50,18-07-2019 24:30:50,18-07-2019 24:31:07,18-07-2019 24:31:07,18-07-2019 24:31:25
7,BRSU_Floor0,18-07-2019 24:30:04,0.0,2,3,36.477,28.343,18.716,18-07-2019 24:30:15,18-07-2019 24:30:52,18-07-2019 24:30:52,18-07-2019 24:31:20,18-07-2019 24:31:20,18-07-2019 24:31:39
8,BRSU_Floor0,18-07-2019 24:30:04,0.0,3,3,25.451,18.16,19.228,18-07-2019 24:30:15,18-07-2019 24:30:41,18-07-2019 24:30:41,18-07-2019 24:30:59,18-07-2019 24:30:59,18-07-2019 24:31:18
9,BRSU_Floor0,18-07-2019 24:30:04,0.0,4,3,22.701,13.255,21.637,18-07-2019 24:30:15,18-07-2019 24:30:38,18-07-2019 24:30:38,18-07-2019 24:30:51,18-07-2019 24:30:51,18-07-2019 24:31:12
10,BRSU_Floor0,18-07-2019 24:30:04,0.0,5,3,33.909,14.056,15.422,18-07-2019 24:30:15,18-07-2019 24:30:49,18-07-2019 24:30:49,18-07-2019 24:31:03,18-07-2019 24:31:03,18-07-2019 24:31:18
11,BRSU_Floor0,18-07-2019 24:32:15,2.0,1,3,44.079,12.561,18.986,18-07-2019 24:32:24,18-07-2019 24:33:08,18-07-2019 24:33:08,18-07-2019 24:33:20,18-07-2019 24:33:20,18-07-2019 24:33:39
12,BRSU_Floor0,18-07-2019 24:32:15,2.0,2,3,40.889,14.971,16.376,18-07-2019 24:32:25,18-07-2019 24:33:06,18-07-2019 24:33:06,18-07-2019 24:33:21,18-07-2019 24:33:21,18-07-2019 24:33:37
13,BRSU_Floor0,18-07-2019 24:32:15,2.0,3,3,54.628,26.897,20.478,18-07-2019 24:32:24,18-07-2019 24:33:19,18-07-2019 24:33:19,18-07-2019 24:33:46,18-07-2019 24:33:46,18-07-2019 24:34:06
14,BRSU_Floor0,18-07-2019 24:32:15,2.0,4,3,21.973,12.151,14.327,18-07-2019 24:32:24,18-07-2019 24:32:46,18-07-2019 24:32:46,18-07-2019 24:32:58,18-07-2019 24:32:58,18-07-2019 24:33:13
15,BRSU_Floor0,18-07-2019 24:32:15,2.0,5,3,43.055,10.899,23.605,18-07-2019 24:32:24,18-07-2019 24:33:07,18-07-2019 24:33:07,18-07-2019 24:33:18,18-07-2019 24:33:18,18-07-2019 24:33:42
16,BRSU_Floor0,18-07-2019 24:34:25,0.0,1,3,27.886,26.302,14.894,18-07-2019 24:34:34,18-07-2019 24:35:02,18-07-2019 24:35:02,18-07-2019 24:35:28,18-07-2019 24:35:28,18-07-2019 24:35:43
17,BRSU_Floor0,18-07-2019 24:34:25,0.0,2,3,23.781,17.062,29.134,18-07-2019 24:34:35,18-07-2019 24:34:59,18-07-2019 24:34:59,18-07-2019 24:35:16,18-07-2019 24:35:16,18-07-2019 24:35:45
18,BRSU_Floor0,18-07-2019 24:34:25,0.0,3,3,33.088,32.956,17.08,18-07-2019 24:34:35,18-07-2019 24:35:08,18-07-2019 24:35:08,18-07-2019 24:35:41,18-07-2019 24:35:41,18-07-2019 24:35:58
19,BRSU_Floor0,18-07-2019 24:34:25,0.0,4,3,23.384,30.305,11.83,18-07-2019 24:34:35,18-07-2019 24:34:58,18-07-2019 24:34:58,18-07-2019 24:35:28,18-07-2019 24:35:28,18-07-2019 24:35:40
20,BRSU_Floor0,18-07-2019 24:34:25,0.0,5,3,37.839,8.233,16.761,18-07-2019 24:34:34,18-07-2019 24:35:12,18-07-2019 24:35:12,18-07-2019 24:35:21,18-07-2019 24:35:21,18-07-2019 24:35:37
21,BRSU_Floor0,18-07-2019 24:36:36,1.0,1,3,30.297,10.506,13.904,18-07-2019 24:36:46,18-07-2019 24:37:16,18-07-2019 24:37:16,18-07-2019 24:37:26,18-07-2019 24:37:26,18-07-2019 24:37:40
22,BRSU_Floor0,18-07-2019 24:36:36,1.0,2,3,26.827,13.032,21.937,18-07-2019 24:36:45,18-07-2019 24:37:11,18-07-2019 24:37:11,18-07-2019 24:37:25,18-07-2019 24:37:25,18-07-2019 24:37:46
23,BRSU_Floor0,18-07-2019 24:36:36,1.0,3,3,46.285,16.469,20.737,18-07-2019 24:36:45,18-07-2019 24:37:32,18-07-2019 24:37:32,18-07-2019 24:37:48,18-07-2019 24:37:48,18-07-2019 24:38:09
24,BRSU_Floor0,18-07-2019 24:36:36,1.0,4,3,23.08,17.568,11.401,18-07-2019 24:36:45,18-07-2019 24:37:08,18-07-2019 24:37:08,18-07-2019 24:37:26,18-07-2019 24:37:26,18-07-2019 24:37:37
25,BRSU_Floor0,18-07-2019 24:36:36,1.0,5,3,47.449,8.23,13.082,18-07-2019 24:36:45,18-07-2019 24:37:32,18-07-2019 24:37:32,18-07-2019 24:37:41,18-07-2019 24:37:41,18-07-2019 24:37:54
