,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,17-07-2019 11:57:11,1.0,1,3,55.729,10.381,13.158,17-07-2019 11:59:47,17-07-2019 12:00:43,17-07-2019 12:00:43,17-07-2019 12:00:53,17-07-2019 12:00:53,17-07-2019 12:01:07
2,BRSU_Floor0,17-07-2019 11:57:11,1.0,2,3,34.424,13.482,12.192,17-07-2019 11:59:48,17-07-2019 12:00:23,17-07-2019 12:00:23,17-07-2019 12:00:36,17-07-2019 12:00:36,17-07-2019 12:00:48
3,BRSU_Floor0,17-07-2019 11:57:11,1.0,3,3,43.058,15.224,13.559,17-07-2019 11:59:48,17-07-2019 12:00:31,17-07-2019 12:00:31,17-07-2019 12:00:46,17-07-2019 12:00:46,17-07-2019 12:01:00
4,BRSU_Floor0,17-07-2019 11:57:11,1.0,4,3,26.174,16.496,11.613,17-07-2019 11:59:48,17-07-2019 12:00:14,17-07-2019 12:00:14,17-07-2019 12:00:31,17-07-2019 12:00:31,17-07-2019 12:00:42
5,BRSU_Floor0,17-07-2019 11:57:11,1.0,5,3,30.081,13.133,13.992,17-07-2019 11:59:48,17-07-2019 12:00:18,17-07-2019 12:00:18,17-07-2019 12:00:31,17-07-2019 12:00:31,17-07-2019 12:00:45
6,BRSU_Floor0,17-07-2019 12:01:52,0.0,1,3,33.793,10.751,13.214,17-07-2019 12:04:28,17-07-2019 12:05:02,17-07-2019 12:05:02,17-07-2019 12:05:13,17-07-2019 12:05:13,17-07-2019 12:05:26
7,BRSU_Floor0,17-07-2019 12:01:52,0.0,2,3,39.66,16.072,14.869,17-07-2019 12:04:29,17-07-2019 12:05:09,17-07-2019 12:05:09,17-07-2019 12:05:25,17-07-2019 12:05:25,17-07-2019 12:05:40
8,BRSU_Floor0,17-07-2019 12:01:52,0.0,3,3,15.515,15.072,12.658,17-07-2019 12:04:29,17-07-2019 12:04:44,17-07-2019 12:04:44,17-07-2019 12:04:59,17-07-2019 12:04:59,17-07-2019 12:05:12
9,BRSU_Floor0,17-07-2019 12:01:52,0.0,4,3,38.081,16.101,11.665,17-07-2019 12:04:28,17-07-2019 12:05:07,17-07-2019 12:05:07,17-07-2019 12:05:23,17-07-2019 12:05:23,17-07-2019 12:05:34
10,BRSU_Floor0,17-07-2019 12:01:52,0.0,5,3,26.906,8.671,12.865,17-07-2019 12:04:28,17-07-2019 12:04:55,17-07-2019 12:04:55,17-07-2019 12:05:04,17-07-2019 12:05:04,17-07-2019 12:05:17
