,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,24-06-2019 02:29:01,1.0,1,3,93.559,16.748,18.877,24-06-2019 02:29:08,24-06-2019 02:30:41,24-06-2019 02:30:41,24-06-2019 02:30:58,24-06-2019 02:30:58,24-06-2019 02:31:17
2,BRSU_Floor0,24-06-2019 02:29:01,1.0,2,3,88.958,15.026,15.768,24-06-2019 02:29:15,24-06-2019 02:30:44,24-06-2019 02:30:44,24-06-2019 02:30:59,24-06-2019 02:30:59,24-06-2019 02:31:15
3,BRSU_Floor0,24-06-2019 02:29:01,1.0,3,3,38.804,31.195,22.673,24-06-2019 02:29:10,24-06-2019 02:29:49,24-06-2019 02:29:49,24-06-2019 02:30:20,24-06-2019 02:30:20,24-06-2019 02:30:43
4,BRSU_Floor0,24-06-2019 02:29:01,1.0,4,3,88.255,16.348,17.75,24-06-2019 02:29:10,24-06-2019 02:30:38,24-06-2019 02:30:38,24-06-2019 02:30:54,24-06-2019 02:30:54,24-06-2019 02:31:12
5,BRSU_Floor0,24-06-2019 02:29:01,1.0,5,3,78.294,12.885,11.44,24-06-2019 02:29:09,24-06-2019 02:30:28,24-06-2019 02:30:28,24-06-2019 02:30:41,24-06-2019 02:30:41,24-06-2019 02:30:52
6,BRSU_Floor0,24-06-2019 02:29:01,1.0,6,3,67.011,12.407,15.227,24-06-2019 02:29:09,24-06-2019 02:30:16,24-06-2019 02:30:16,24-06-2019 02:30:28,24-06-2019 02:30:28,24-06-2019 02:30:44
7,BRSU_Floor0,24-06-2019 02:29:01,1.0,7,3,92.177,17.2,11.645,24-06-2019 02:29:09,24-06-2019 02:30:41,24-06-2019 02:30:41,24-06-2019 02:30:58,24-06-2019 02:30:58,24-06-2019 02:31:10
8,BRSU_Floor0,24-06-2019 02:29:01,1.0,8,3,88.807,19.423,21.927,24-06-2019 02:29:08,24-06-2019 02:30:37,24-06-2019 02:30:37,24-06-2019 02:30:57,24-06-2019 02:30:57,24-06-2019 02:31:19
9,BRSU_Floor0,24-06-2019 02:29:01,1.0,9,3,77.905,17.714,13.182,24-06-2019 02:29:08,24-06-2019 02:30:26,24-06-2019 02:30:26,24-06-2019 02:30:44,24-06-2019 02:30:44,24-06-2019 02:30:57
10,BRSU_Floor0,24-06-2019 02:29:01,1.0,10,3,28.996,34.976,26.855,24-06-2019 02:29:08,24-06-2019 02:29:37,24-06-2019 02:29:37,24-06-2019 02:30:12,24-06-2019 02:30:12,24-06-2019 02:30:39
11,BRSU_Floor0,24-06-2019 02:32:32,0.0,1,3,131.722,17.25,14.41,24-06-2019 02:32:38,24-06-2019 02:34:50,24-06-2019 02:34:50,24-06-2019 02:35:07,24-06-2019 02:35:07,24-06-2019 02:35:22
12,BRSU_Floor0,24-06-2019 02:32:32,0.0,2,3,138.37,13.669,16.064,24-06-2019 02:32:41,24-06-2019 02:35:00,24-06-2019 02:35:00,24-06-2019 02:35:13,24-06-2019 02:35:13,24-06-2019 02:35:30
13,BRSU_Floor0,24-06-2019 02:32:32,0.0,3,3,79.961,15.505,25.415,24-06-2019 02:32:41,24-06-2019 02:34:01,24-06-2019 02:34:01,24-06-2019 02:34:16,24-06-2019 02:34:16,24-06-2019 02:34:42
14,BRSU_Floor0,24-06-2019 02:32:32,0.0,4,3,115.411,15.933,12.122,24-06-2019 02:32:41,24-06-2019 02:34:36,24-06-2019 02:34:36,24-06-2019 02:34:52,24-06-2019 02:34:52,24-06-2019 02:35:04
15,BRSU_Floor0,24-06-2019 02:32:32,0.0,5,3,98.407,13.009,15.326,24-06-2019 02:32:40,24-06-2019 02:34:19,24-06-2019 02:34:19,24-06-2019 02:34:32,24-06-2019 02:34:32,24-06-2019 02:34:47
16,BRSU_Floor0,24-06-2019 02:32:32,0.0,6,3,13.161,40.517,49.865,24-06-2019 02:32:40,24-06-2019 02:32:53,24-06-2019 02:32:53,24-06-2019 02:33:34,24-06-2019 02:33:34,24-06-2019 02:34:24
17,BRSU_Floor0,24-06-2019 02:32:32,0.0,7,3,86.302,32.408,11.767,24-06-2019 02:32:40,24-06-2019 02:34:06,24-06-2019 02:34:06,24-06-2019 02:34:38,24-06-2019 02:34:38,24-06-2019 02:34:50
18,BRSU_Floor0,24-06-2019 02:32:32,0.0,8,3,119.86,13.672,15.09,24-06-2019 02:32:39,24-06-2019 02:34:39,24-06-2019 02:34:39,24-06-2019 02:34:53,24-06-2019 02:34:53,24-06-2019 02:35:08
19,BRSU_Floor0,24-06-2019 02:32:32,0.0,9,3,115.495,21.54,13.779,24-06-2019 02:32:39,24-06-2019 02:34:35,24-06-2019 02:34:35,24-06-2019 02:34:56,24-06-2019 02:34:56,24-06-2019 02:35:10
20,BRSU_Floor0,24-06-2019 02:32:32,0.0,10,3,82.118,15.633,15.67,24-06-2019 02:32:39,24-06-2019 02:34:01,24-06-2019 02:34:01,24-06-2019 02:34:17,24-06-2019 02:34:17,24-06-2019 02:34:32
21,BRSU_Floor0,24-06-2019 02:36:02,2.0,1,3,113.926,14.575,15.461,24-06-2019 02:36:09,24-06-2019 02:38:03,24-06-2019 02:38:03,24-06-2019 02:38:18,24-06-2019 02:38:18,24-06-2019 02:38:33
