,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,30-06-2019 04:13:59,1.0,1,3,40.206,10.142,13.963,30-06-2019 04:14:35,30-06-2019 04:15:16,30-06-2019 04:15:16,30-06-2019 04:15:26,30-06-2019 04:15:26,30-06-2019 04:15:40
2,BRSU_Floor0,30-06-2019 04:13:59,1.0,2,3,34.754,13.053,12.356,30-06-2019 04:14:36,30-06-2019 04:15:11,30-06-2019 04:15:11,30-06-2019 04:15:24,30-06-2019 04:15:24,30-06-2019 04:15:36
3,BRSU_Floor0,30-06-2019 04:13:59,1.0,3,3,33.286,30.32,14.55,30-06-2019 04:14:36,30-06-2019 04:15:09,30-06-2019 04:15:09,30-06-2019 04:15:40,30-06-2019 04:15:40,30-06-2019 04:15:54
4,BRSU_Floor0,30-06-2019 04:13:59,1.0,4,3,18.283,12.043,11.752,30-06-2019 04:14:36,30-06-2019 04:14:54,30-06-2019 04:14:54,30-06-2019 04:15:06,30-06-2019 04:15:06,30-06-2019 04:15:18
5,BRSU_Floor0,30-06-2019 04:13:59,1.0,5,3,12.861,8.411,23.889,30-06-2019 04:14:36,30-06-2019 04:14:48,30-06-2019 04:14:48,30-06-2019 04:14:57,30-06-2019 04:14:57,30-06-2019 04:15:21
6,BRSU_Floor0,30-06-2019 04:16:09,0.0,1,3,46.346,10.143,13.279,30-06-2019 04:16:15,30-06-2019 04:17:02,30-06-2019 04:17:02,30-06-2019 04:17:12,30-06-2019 04:17:12,30-06-2019 04:17:25
7,BRSU_Floor0,30-06-2019 04:16:09,0.0,2,3,32.171,28.96,15.371,30-06-2019 04:16:16,30-06-2019 04:16:49,30-06-2019 04:16:49,30-06-2019 04:17:18,30-06-2019 04:17:18,30-06-2019 04:17:33
8,BRSU_Floor0,30-06-2019 04:16:09,0.0,3,3,35.07,24.104,14.663,30-06-2019 04:16:16,30-06-2019 04:16:51,30-06-2019 04:16:51,30-06-2019 04:17:15,30-06-2019 04:17:15,30-06-2019 04:17:30
9,BRSU_Floor0,30-06-2019 04:16:09,0.0,4,3,30.451,12.211,11.387,30-06-2019 04:16:16,30-06-2019 04:16:46,30-06-2019 04:16:46,30-06-2019 04:16:59,30-06-2019 04:16:59,30-06-2019 04:17:10
10,BRSU_Floor0,30-06-2019 04:16:09,0.0,5,3,14.261,9.71,19.799,30-06-2019 04:16:16,30-06-2019 04:16:30,30-06-2019 04:16:30,30-06-2019 04:16:40,30-06-2019 04:16:40,30-06-2019 04:17:00
11,BRSU_Floor0,30-06-2019 04:18:19,2.0,1,3,48.513,10.455,15.819,30-06-2019 04:18:26,30-06-2019 04:19:14,30-06-2019 04:19:14,30-06-2019 04:19:25,30-06-2019 04:19:25,30-06-2019 04:19:41
12,BRSU_Floor0,30-06-2019 04:18:19,2.0,2,3,44.687,20.021,18.739,30-06-2019 04:18:27,30-06-2019 04:19:12,30-06-2019 04:19:12,30-06-2019 04:19:32,30-06-2019 04:19:32,30-06-2019 04:19:50
