,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,BRSU_Floor0,14-07-2019 05:34:10,1.0,1,0,x,x,x,14-07-2019 05:34:17,x,x,x,x,x
2,BRSU_Floor0,14-07-2019 05:34:10,1.0,2,0,x,x,x,14-07-2019 05:34:19,x,x,x,x,x
3,BRSU_Floor0,14-07-2019 05:34:10,1.0,3,0,x,x,x,14-07-2019 05:34:19,x,x,x,x,x
4,BRSU_Floor0,14-07-2019 05:34:10,1.0,4,0,x,x,x,14-07-2019 05:34:18,x,x,x,x,x
5,BRSU_Floor0,14-07-2019 05:34:10,1.0,5,0,x,x,x,14-07-2019 05:34:18,x,x,x,x,x
6,BRSU_Floor0,14-07-2019 05:37:21,0.0,1,3,42.175,14.077,27.419,14-07-2019 05:37:28,14-07-2019 05:38:10,14-07-2019 05:38:10,14-07-2019 05:38:24,14-07-2019 05:38:24,14-07-2019 05:38:51
7,BRSU_Floor0,14-07-2019 05:37:21,0.0,2,2,58.207,26.031,x,14-07-2019 05:37:30,14-07-2019 05:38:28,14-07-2019 05:38:28,14-07-2019 05:38:54,14-07-2019 05:38:54,x
8,BRSU_Floor0,14-07-2019 05:37:21,0.0,3,3,48.28,19.374,21.925,14-07-2019 05:37:29,14-07-2019 05:38:17,14-07-2019 05:38:17,14-07-2019 05:38:37,14-07-2019 05:38:37,14-07-2019 05:38:59
9,BRSU_Floor0,14-07-2019 05:37:21,0.0,4,3,36.415,16.874,25.905,14-07-2019 05:37:29,14-07-2019 05:38:05,14-07-2019 05:38:05,14-07-2019 05:38:22,14-07-2019 05:38:22,14-07-2019 05:38:48
10,BRSU_Floor0,14-07-2019 05:37:21,0.0,5,3,31.108,11.421,31.245,14-07-2019 05:37:28,14-07-2019 05:37:59,14-07-2019 05:37:59,14-07-2019 05:38:11,14-07-2019 05:38:11,14-07-2019 05:38:42
11,BRSU_Floor0,14-07-2019 05:40:31,4.0,1,3,47.097,14.475,28.15,14-07-2019 05:40:38,14-07-2019 05:41:25,14-07-2019 05:41:25,14-07-2019 05:41:40,14-07-2019 05:41:40,14-07-2019 05:42:08
12,BRSU_Floor0,14-07-2019 05:40:31,4.0,2,2,53.818,19.829,x,14-07-2019 05:40:40,14-07-2019 05:41:34,14-07-2019 05:41:34,14-07-2019 05:41:54,14-07-2019 05:41:54,x
13,BRSU_Floor0,14-07-2019 05:40:31,4.0,3,3,45.71,22.51,21.593,14-07-2019 05:40:40,14-07-2019 05:41:25,14-07-2019 05:41:25,14-07-2019 05:41:48,14-07-2019 05:41:48,14-07-2019 05:42:10
14,BRSU_Floor0,14-07-2019 05:40:31,4.0,4,3,37.133,15.381,24.101,14-07-2019 05:40:39,14-07-2019 05:41:16,14-07-2019 05:41:16,14-07-2019 05:41:32,14-07-2019 05:41:32,14-07-2019 05:41:56
15,BRSU_Floor0,14-07-2019 05:40:31,4.0,5,3,32.196,9.199,27.515,14-07-2019 05:40:39,14-07-2019 05:41:11,14-07-2019 05:41:11,14-07-2019 05:41:20,14-07-2019 05:41:20,14-07-2019 05:41:48
16,BRSU_Floor0,14-07-2019 05:43:42,2.0,1,0,x,x,x,14-07-2019 05:43:49,x,x,x,x,x
17,BRSU_Floor0,14-07-2019 05:43:42,2.0,2,0,x,x,x,14-07-2019 05:43:51,x,x,x,x,x
18,BRSU_Floor0,14-07-2019 05:43:42,2.0,3,0,x,x,x,14-07-2019 05:43:50,x,x,x,x,x
19,BRSU_Floor0,14-07-2019 05:43:42,2.0,4,0,x,x,x,14-07-2019 05:43:50,x,x,x,x,x
20,BRSU_Floor0,14-07-2019 05:43:42,2.0,5,0,x,x,x,14-07-2019 05:43:49,x,x,x,x,x
21,BRSU_Floor0,14-07-2019 05:46:52,1.0,1,3,28.799,22.202,29.181,14-07-2019 05:46:59,14-07-2019 05:47:28,14-07-2019 05:47:28,14-07-2019 05:47:50,14-07-2019 05:47:50,14-07-2019 05:48:20
22,BRSU_Floor0,14-07-2019 05:46:52,1.0,2,3,55.776,19.604,21.921,14-07-2019 05:47:01,14-07-2019 05:47:57,14-07-2019 05:47:57,14-07-2019 05:48:17,14-07-2019 05:48:17,14-07-2019 05:48:38
23,BRSU_Floor0,14-07-2019 05:46:52,1.0,3,3,53.782,26.298,22.903,14-07-2019 05:47:01,14-07-2019 05:47:55,14-07-2019 05:47:55,14-07-2019 05:48:21,14-07-2019 05:48:21,14-07-2019 05:48:44
24,BRSU_Floor0,14-07-2019 05:46:52,1.0,4,3,51.84,17.779,23.896,14-07-2019 05:47:00,14-07-2019 05:47:52,14-07-2019 05:47:52,14-07-2019 05:48:10,14-07-2019 05:48:10,14-07-2019 05:48:34
25,BRSU_Floor0,14-07-2019 05:46:52,1.0,5,3,33.507,9.063,29.302,14-07-2019 05:47:00,14-07-2019 05:47:33,14-07-2019 05:47:33,14-07-2019 05:47:43,14-07-2019 05:47:43,14-07-2019 05:48:12
26,BRSU_Floor0,14-07-2019 05:50:03,1.0,1,2,29.448,16.884,x,14-07-2019 05:50:10,14-07-2019 05:50:39,14-07-2019 05:50:39,14-07-2019 05:50:56,14-07-2019 05:50:56,x
27,BRSU_Floor0,14-07-2019 05:50:03,1.0,2,0,x,x,x,14-07-2019 05:50:12,x,x,x,x,x
28,BRSU_Floor0,14-07-2019 05:50:03,1.0,3,1,49.164,x,x,14-07-2019 05:50:11,14-07-2019 05:51:00,14-07-2019 05:51:00,x,x,x
29,BRSU_Floor0,14-07-2019 05:50:03,1.0,4,1,47.183,x,x,14-07-2019 05:50:11,14-07-2019 05:50:58,14-07-2019 05:50:58,x,x,x
30,BRSU_Floor0,14-07-2019 05:50:03,1.0,5,2,37.105,9.728,x,14-07-2019 05:50:10,14-07-2019 05:50:48,14-07-2019 05:50:48,14-07-2019 05:50:57,14-07-2019 05:50:57,x
31,BRSU_Floor0,14-07-2019 05:53:14,0.0,1,3,49.637,15.743,30.78,14-07-2019 05:53:21,14-07-2019 05:54:10,14-07-2019 05:54:10,14-07-2019 05:54:26,14-07-2019 05:54:26,14-07-2019 05:54:57
