,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,hospital_stage,04-08-2019 04:47:52,0.0,1,3,24.291,11.051,11.498,04-08-2019 04:48:58,04-08-2019 04:49:22,04-08-2019 04:49:22,04-08-2019 04:49:34,04-08-2019 04:49:34,04-08-2019 04:49:45
2,hospital_stage,04-08-2019 04:47:52,0.0,2,3,11.137,9.753,28.236,04-08-2019 04:48:59,04-08-2019 04:49:10,04-08-2019 04:49:10,04-08-2019 04:49:20,04-08-2019 04:49:20,04-08-2019 04:49:48
3,hospital_stage,04-08-2019 04:47:52,0.0,3,3,12.922,12.833,22.701,04-08-2019 04:48:59,04-08-2019 04:49:12,04-08-2019 04:49:12,04-08-2019 04:49:24,04-08-2019 04:49:24,04-08-2019 04:49:47
4,hospital_stage,04-08-2019 04:47:52,0.0,4,3,12.881,8.989,20.245,04-08-2019 04:48:59,04-08-2019 04:49:11,04-08-2019 04:49:11,04-08-2019 04:49:20,04-08-2019 04:49:20,04-08-2019 04:49:41
5,hospital_stage,04-08-2019 04:47:52,0.0,5,3,9.845,17.174,17.006,04-08-2019 04:48:58,04-08-2019 04:49:08,04-08-2019 04:49:08,04-08-2019 04:49:25,04-08-2019 04:49:25,04-08-2019 04:49:42
6,hospital_stage,04-08-2019 04:51:22,4.0,1,3,22.37,11.159,10.764,04-08-2019 04:52:28,04-08-2019 04:52:51,04-08-2019 04:52:51,04-08-2019 04:53:02,04-08-2019 04:53:02,04-08-2019 04:53:13
7,hospital_stage,04-08-2019 04:51:22,4.0,2,3,11.526,9.788,26.138,04-08-2019 04:52:29,04-08-2019 04:52:40,04-08-2019 04:52:40,04-08-2019 04:52:50,04-08-2019 04:52:50,04-08-2019 04:53:16
8,hospital_stage,04-08-2019 04:51:22,4.0,3,3,13.092,23.786,16.216,04-08-2019 04:52:29,04-08-2019 04:52:42,04-08-2019 04:52:42,04-08-2019 04:53:06,04-08-2019 04:53:06,04-08-2019 04:53:22
9,hospital_stage,04-08-2019 04:51:22,4.0,4,3,13.317,8.852,19.932,04-08-2019 04:52:29,04-08-2019 04:52:42,04-08-2019 04:52:42,04-08-2019 04:52:51,04-08-2019 04:52:51,04-08-2019 04:53:11
10,hospital_stage,04-08-2019 04:51:22,4.0,5,3,10.291,15.439,20.88,04-08-2019 04:52:28,04-08-2019 04:52:39,04-08-2019 04:52:39,04-08-2019 04:52:54,04-08-2019 04:52:54,04-08-2019 04:53:15
11,hospital_stage,04-08-2019 04:54:53,0.0,1,3,27.173,15.781,10.541,04-08-2019 04:55:59,04-08-2019 04:56:26,04-08-2019 04:56:26,04-08-2019 04:56:42,04-08-2019 04:56:42,04-08-2019 04:56:53
12,hospital_stage,04-08-2019 04:54:53,0.0,2,3,11.171,9.68,23.662,04-08-2019 04:56:00,04-08-2019 04:56:11,04-08-2019 04:56:11,04-08-2019 04:56:21,04-08-2019 04:56:21,04-08-2019 04:56:44
13,hospital_stage,04-08-2019 04:54:53,0.0,3,3,12.725,17.235,28.025,04-08-2019 04:56:00,04-08-2019 04:56:12,04-08-2019 04:56:12,04-08-2019 04:56:30,04-08-2019 04:56:30,04-08-2019 04:56:58
14,hospital_stage,04-08-2019 04:54:53,0.0,4,3,13.06,8.991,14.848,04-08-2019 04:55:59,04-08-2019 04:56:13,04-08-2019 04:56:13,04-08-2019 04:56:22,04-08-2019 04:56:22,04-08-2019 04:56:36
15,hospital_stage,04-08-2019 04:54:53,0.0,5,3,9.879,25.497,20.588,04-08-2019 04:55:59,04-08-2019 04:56:09,04-08-2019 04:56:09,04-08-2019 04:56:35,04-08-2019 04:56:35,04-08-2019 04:56:55
16,hospital_stage,04-08-2019 04:58:23,1.0,1,3,22.055,23.346,10.835,04-08-2019 04:59:31,04-08-2019 04:59:53,04-08-2019 04:59:53,04-08-2019 05:00:16,04-08-2019 05:00:16,04-08-2019 05:00:27
17,hospital_stage,04-08-2019 04:58:23,1.0,2,3,13.726,9.742,22.862,04-08-2019 04:59:31,04-08-2019 04:59:45,04-08-2019 04:59:45,04-08-2019 04:59:55,04-08-2019 04:59:55,04-08-2019 05:00:18
18,hospital_stage,04-08-2019 04:58:23,1.0,3,3,12.553,13.322,17.41,04-08-2019 04:59:31,04-08-2019 04:59:44,04-08-2019 04:59:44,04-08-2019 04:59:57,04-08-2019 04:59:57,04-08-2019 05:00:15
19,hospital_stage,04-08-2019 04:58:23,1.0,4,3,13.405,9.984,26.226,04-08-2019 04:59:31,04-08-2019 04:59:45,04-08-2019 04:59:45,04-08-2019 04:59:54,04-08-2019 04:59:54,04-08-2019 05:00:21
20,hospital_stage,04-08-2019 04:58:23,1.0,5,3,11.462,14.474,14.354,04-08-2019 04:59:31,04-08-2019 04:59:42,04-08-2019 04:59:42,04-08-2019 04:59:57,04-08-2019 04:59:57,04-08-2019 05:00:11
21,hospital_stage,04-08-2019 05:01:54,1.0,1,3,15.751,12.825,10.852,04-08-2019 05:03:00,04-08-2019 05:03:16,04-08-2019 05:03:16,04-08-2019 05:03:28,04-08-2019 05:03:28,04-08-2019 05:03:39
22,hospital_stage,04-08-2019 05:01:54,1.0,2,3,13.462,9.778,20.531,04-08-2019 05:03:00,04-08-2019 05:03:14,04-08-2019 05:03:14,04-08-2019 05:03:24,04-08-2019 05:03:24,04-08-2019 05:03:44
23,hospital_stage,04-08-2019 05:01:54,1.0,3,3,16.168,14.126,20.169,04-08-2019 05:03:00,04-08-2019 05:03:16,04-08-2019 05:03:16,04-08-2019 05:03:30,04-08-2019 05:03:30,04-08-2019 05:03:51
24,hospital_stage,04-08-2019 05:01:54,1.0,4,3,9.772,8.957,16.086,04-08-2019 05:03:00,04-08-2019 05:03:10,04-08-2019 05:03:10,04-08-2019 05:03:19,04-08-2019 05:03:19,04-08-2019 05:03:35
