,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,hospital_stage,04-08-2019 01:08:19,0.0,1,3,23.483,22.755,13.046,04-08-2019 01:08:26,04-08-2019 01:08:50,04-08-2019 01:08:50,04-08-2019 01:09:13,04-08-2019 01:09:13,04-08-2019 01:09:26
2,hospital_stage,04-08-2019 01:08:19,0.0,2,3,11.926,9.791,23.88,04-08-2019 01:08:27,04-08-2019 01:08:39,04-08-2019 01:08:39,04-08-2019 01:08:49,04-08-2019 01:08:49,04-08-2019 01:09:13
3,hospital_stage,04-08-2019 01:08:19,0.0,3,3,12.449,14.255,23.381,04-08-2019 01:08:27,04-08-2019 01:08:40,04-08-2019 01:08:40,04-08-2019 01:08:54,04-08-2019 01:08:54,04-08-2019 01:09:17
4,hospital_stage,04-08-2019 01:08:19,0.0,4,3,30.287,8.869,14.816,04-08-2019 01:08:27,04-08-2019 01:08:57,04-08-2019 01:08:57,04-08-2019 01:09:06,04-08-2019 01:09:06,04-08-2019 01:09:21
5,hospital_stage,04-08-2019 01:08:19,0.0,5,3,13.63,10.794,15.632,04-08-2019 01:08:27,04-08-2019 01:08:40,04-08-2019 01:08:40,04-08-2019 01:08:51,04-08-2019 01:08:51,04-08-2019 01:09:07
6,hospital_stage,04-08-2019 01:10:29,2.0,1,3,17.52,19.185,13.144,04-08-2019 01:10:35,04-08-2019 01:10:53,04-08-2019 01:10:53,04-08-2019 01:11:12,04-08-2019 01:11:12,04-08-2019 01:11:25
7,hospital_stage,04-08-2019 01:10:29,2.0,2,3,11.603,9.825,23.921,04-08-2019 01:10:36,04-08-2019 01:10:47,04-08-2019 01:10:47,04-08-2019 01:10:57,04-08-2019 01:10:57,04-08-2019 01:11:21
8,hospital_stage,04-08-2019 01:10:29,2.0,3,3,14.572,18.817,18.696,04-08-2019 01:10:36,04-08-2019 01:10:50,04-08-2019 01:10:50,04-08-2019 01:11:09,04-08-2019 01:11:09,04-08-2019 01:11:28
9,hospital_stage,04-08-2019 01:10:29,2.0,4,3,14.339,8.795,15.535,04-08-2019 01:10:36,04-08-2019 01:10:50,04-08-2019 01:10:50,04-08-2019 01:10:59,04-08-2019 01:10:59,04-08-2019 01:11:14
10,hospital_stage,04-08-2019 01:10:29,2.0,5,3,15.344,13.201,14.535,04-08-2019 01:10:35,04-08-2019 01:10:51,04-08-2019 01:10:51,04-08-2019 01:11:04,04-08-2019 01:11:04,04-08-2019 01:11:18
11,hospital_stage,04-08-2019 01:12:40,1.0,1,3,17.196,19.207,12.845,04-08-2019 01:12:45,04-08-2019 01:13:03,04-08-2019 01:13:03,04-08-2019 01:13:22,04-08-2019 01:13:22,04-08-2019 01:13:35
12,hospital_stage,04-08-2019 01:12:40,1.0,2,3,11.537,9.903,28.11,04-08-2019 01:12:46,04-08-2019 01:12:58,04-08-2019 01:12:58,04-08-2019 01:13:07,04-08-2019 01:13:07,04-08-2019 01:13:36
13,hospital_stage,04-08-2019 01:12:40,1.0,3,3,12.544,11.74,26.596,04-08-2019 01:12:46,04-08-2019 01:12:58,04-08-2019 01:12:58,04-08-2019 01:13:10,04-08-2019 01:13:10,04-08-2019 01:13:37
14,hospital_stage,04-08-2019 01:12:40,1.0,4,3,13.778,11.44,24.305,04-08-2019 01:12:46,04-08-2019 01:13:00,04-08-2019 01:13:00,04-08-2019 01:13:11,04-08-2019 01:13:11,04-08-2019 01:13:35
15,hospital_stage,04-08-2019 01:12:40,1.0,5,3,12.688,15.901,14.49,04-08-2019 01:12:46,04-08-2019 01:12:58,04-08-2019 01:12:58,04-08-2019 01:13:14,04-08-2019 01:13:14,04-08-2019 01:13:29
16,hospital_stage,04-08-2019 01:14:50,3.0,1,3,26.452,12.054,12.547,04-08-2019 01:14:56,04-08-2019 01:15:22,04-08-2019 01:15:22,04-08-2019 01:15:34,04-08-2019 01:15:34,04-08-2019 01:15:47
17,hospital_stage,04-08-2019 01:14:50,3.0,2,3,10.74,9.866,23.038,04-08-2019 01:14:56,04-08-2019 01:15:07,04-08-2019 01:15:07,04-08-2019 01:15:17,04-08-2019 01:15:17,04-08-2019 01:15:40
18,hospital_stage,04-08-2019 01:14:50,3.0,3,3,12.68,19.52,15.89,04-08-2019 01:14:56,04-08-2019 01:15:09,04-08-2019 01:15:09,04-08-2019 01:15:28,04-08-2019 01:15:28,04-08-2019 01:15:44
19,hospital_stage,04-08-2019 01:14:50,3.0,4,3,13.437,11.655,16.188,04-08-2019 01:14:56,04-08-2019 01:15:10,04-08-2019 01:15:10,04-08-2019 01:15:21,04-08-2019 01:15:21,04-08-2019 01:15:37
20,hospital_stage,04-08-2019 01:14:50,3.0,5,3,11.868,17.116,14.687,04-08-2019 01:14:56,04-08-2019 01:15:08,04-08-2019 01:15:08,04-08-2019 01:15:25,04-08-2019 01:15:25,04-08-2019 01:15:40
21,hospital_stage,04-08-2019 01:17:01,2.0,1,3,21.817,17.649,10.345,04-08-2019 01:17:07,04-08-2019 01:17:28,04-08-2019 01:17:28,04-08-2019 01:17:46,04-08-2019 01:17:46,04-08-2019 01:17:56
22,hospital_stage,04-08-2019 01:17:01,2.0,2,3,10.611,9.916,21.455,04-08-2019 01:17:07,04-08-2019 01:17:18,04-08-2019 01:17:18,04-08-2019 01:17:28,04-08-2019 01:17:28,04-08-2019 01:17:49
23,hospital_stage,04-08-2019 01:17:01,2.0,3,3,13.08,16.726,22.326,04-08-2019 01:17:07,04-08-2019 01:17:20,04-08-2019 01:17:20,04-08-2019 01:17:37,04-08-2019 01:17:37,04-08-2019 01:17:59
24,hospital_stage,04-08-2019 01:17:01,2.0,4,3,12.711,8.881,15.15,04-08-2019 01:17:07,04-08-2019 01:17:20,04-08-2019 01:17:20,04-08-2019 01:17:29,04-08-2019 01:17:29,04-08-2019 01:17:44
25,hospital_stage,04-08-2019 01:17:01,2.0,5,3,12.186,12.915,14.977,04-08-2019 01:17:07,04-08-2019 01:17:19,04-08-2019 01:17:19,04-08-2019 01:17:32,04-08-2019 01:17:32,04-08-2019 01:17:47
26,hospital_stage,04-08-2019 01:19:12,1.0,1,3,16.382,19.274,10.557,04-08-2019 01:19:17,04-08-2019 01:19:34,04-08-2019 01:19:34,04-08-2019 01:19:53,04-08-2019 01:19:53,04-08-2019 01:20:03
27,hospital_stage,04-08-2019 01:19:12,1.0,2,3,10.301,9.973,23.486,04-08-2019 01:19:18,04-08-2019 01:19:28,04-08-2019 01:19:28,04-08-2019 01:19:38,04-08-2019 01:19:38,04-08-2019 01:20:02
28,hospital_stage,04-08-2019 01:19:12,1.0,3,3,13.131,16.326,18.153,04-08-2019 01:19:18,04-08-2019 01:19:31,04-08-2019 01:19:31,04-08-2019 01:19:47,04-08-2019 01:19:47,04-08-2019 01:20:05
29,hospital_stage,04-08-2019 01:19:12,1.0,4,3,12.731,8.971,14.933,04-08-2019 01:19:18,04-08-2019 01:19:30,04-08-2019 01:19:30,04-08-2019 01:19:39,04-08-2019 01:19:39,04-08-2019 01:19:54
30,hospital_stage,04-08-2019 01:19:12,1.0,5,3,12.088,14.71,14.497,04-08-2019 01:19:17,04-08-2019 01:19:30,04-08-2019 01:19:30,04-08-2019 01:19:44,04-08-2019 01:19:44,04-08-2019 01:19:59
31,hospital_stage,04-08-2019 01:21:22,0.0,1,3,14.859,11.713,13.251,04-08-2019 01:21:28,04-08-2019 01:21:43,04-08-2019 01:21:43,04-08-2019 01:21:55,04-08-2019 01:21:55,04-08-2019 01:22:08
32,hospital_stage,04-08-2019 01:21:22,0.0,2,3,10.542,9.867,20.78,04-08-2019 01:21:29,04-08-2019 01:21:39,04-08-2019 01:21:39,04-08-2019 01:21:49,04-08-2019 01:21:49,04-08-2019 01:22:10
33,hospital_stage,04-08-2019 01:21:22,0.0,3,3,15.714,11.097,20.543,04-08-2019 01:21:29,04-08-2019 01:21:44,04-08-2019 01:21:44,04-08-2019 01:21:55,04-08-2019 01:21:55,04-08-2019 01:22:16
34,hospital_stage,04-08-2019 01:21:22,0.0,4,3,13.447,8.933,24.163,04-08-2019 01:21:28,04-08-2019 01:21:42,04-08-2019 01:21:42,04-08-2019 01:21:51,04-08-2019 01:21:51,04-08-2019 01:22:15
35,hospital_stage,04-08-2019 01:21:22,0.0,5,3,12.318,16.326,14.565,04-08-2019 01:21:28,04-08-2019 01:21:41,04-08-2019 01:21:41,04-08-2019 01:21:57,04-08-2019 01:21:57,04-08-2019 01:22:11
36,hospital_stage,04-08-2019 01:23:33,1.0,1,3,21.524,13.007,12.944,04-08-2019 01:23:39,04-08-2019 01:24:00,04-08-2019 01:24:00,04-08-2019 01:24:13,04-08-2019 01:24:13,04-08-2019 01:24:26
37,hospital_stage,04-08-2019 01:23:33,1.0,2,3,10.408,9.778,20.318,04-08-2019 01:23:40,04-08-2019 01:23:50,04-08-2019 01:23:50,04-08-2019 01:24:00,04-08-2019 01:24:00,04-08-2019 01:24:20
38,hospital_stage,04-08-2019 01:23:33,1.0,3,3,12.858,15.103,21.339,04-08-2019 01:23:39,04-08-2019 01:23:52,04-08-2019 01:23:52,04-08-2019 01:24:07,04-08-2019 01:24:07,04-08-2019 01:24:29
39,hospital_stage,04-08-2019 01:23:33,1.0,4,3,12.704,9.116,15.033,04-08-2019 01:23:39,04-08-2019 01:23:52,04-08-2019 01:23:52,04-08-2019 01:24:01,04-08-2019 01:24:01,04-08-2019 01:24:16
