,Test Name,Test Start Time,Num of replans,Robot ID,Successful Misions,Mission1 Duration,Mission2 Duration,Mission3 Duration,Mission1 Start Time,Mission1 End Time,Mission2 Start Time,Mission2 End Time,Mission3 Start Time,Mission3 End Time
1,hospital_stage,04-08-2019 02:58:04,1.0,1,3,22.929,11.377,10.661,04-08-2019 02:58:10,04-08-2019 02:58:33,04-08-2019 02:58:33,04-08-2019 02:58:44,04-08-2019 02:58:44,04-08-2019 02:58:55
2,hospital_stage,04-08-2019 02:58:04,1.0,2,3,11.141,12.059,24.242,04-08-2019 02:58:10,04-08-2019 02:58:21,04-08-2019 02:58:21,04-08-2019 02:58:33,04-08-2019 02:58:33,04-08-2019 02:58:58
3,hospital_stage,04-08-2019 02:58:04,1.0,3,3,19.617,11.606,22.759,04-08-2019 02:58:10,04-08-2019 02:58:30,04-08-2019 02:58:30,04-08-2019 02:58:41,04-08-2019 02:58:41,04-08-2019 02:59:04
4,hospital_stage,04-08-2019 02:58:04,1.0,4,3,13.002,9.05,17.899,04-08-2019 02:58:10,04-08-2019 02:58:23,04-08-2019 02:58:23,04-08-2019 02:58:32,04-08-2019 02:58:32,04-08-2019 02:58:50
5,hospital_stage,04-08-2019 02:58:04,1.0,5,3,10.475,16.546,20.756,04-08-2019 02:58:10,04-08-2019 02:58:20,04-08-2019 02:58:20,04-08-2019 02:58:37,04-08-2019 02:58:37,04-08-2019 02:58:58
6,hospital_stage,04-08-2019 03:00:15,1.0,1,3,22.47,11.219,10.69,04-08-2019 03:00:20,04-08-2019 03:00:43,04-08-2019 03:00:43,04-08-2019 03:00:54,04-08-2019 03:00:54,04-08-2019 03:01:05
7,hospital_stage,04-08-2019 03:00:15,1.0,2,3,10.907,11.233,23.514,04-08-2019 03:00:21,04-08-2019 03:00:32,04-08-2019 03:00:32,04-08-2019 03:00:43,04-08-2019 03:00:43,04-08-2019 03:01:06
8,hospital_stage,04-08-2019 03:00:15,1.0,3,3,20.12,14.369,16.801,04-08-2019 03:00:21,04-08-2019 03:00:41,04-08-2019 03:00:41,04-08-2019 03:00:55,04-08-2019 03:00:55,04-08-2019 03:01:12
9,hospital_stage,04-08-2019 03:00:15,1.0,4,3,12.775,8.984,16.2,04-08-2019 03:00:20,04-08-2019 03:00:33,04-08-2019 03:00:33,04-08-2019 03:00:42,04-08-2019 03:00:42,04-08-2019 03:00:58
10,hospital_stage,04-08-2019 03:00:15,1.0,5,3,9.989,17.096,19.605,04-08-2019 03:00:20,04-08-2019 03:00:30,04-08-2019 03:00:30,04-08-2019 03:00:47,04-08-2019 03:00:47,04-08-2019 03:01:07
11,hospital_stage,04-08-2019 03:02:25,1.0,1,3,18.379,25.158,11.047,04-08-2019 03:02:31,04-08-2019 03:02:49,04-08-2019 03:02:49,04-08-2019 03:03:14,04-08-2019 03:03:14,04-08-2019 03:03:25
12,hospital_stage,04-08-2019 03:02:25,1.0,2,3,11.224,10.052,20.451,04-08-2019 03:02:31,04-08-2019 03:02:42,04-08-2019 03:02:42,04-08-2019 03:02:53,04-08-2019 03:02:53,04-08-2019 03:03:13
13,hospital_stage,04-08-2019 03:02:25,1.0,3,3,19.731,13.277,15.788,04-08-2019 03:02:31,04-08-2019 03:02:51,04-08-2019 03:02:51,04-08-2019 03:03:04,04-08-2019 03:03:04,04-08-2019 03:03:20
14,hospital_stage,04-08-2019 03:02:25,1.0,4,3,12.725,8.887,29.792,04-08-2019 03:02:31,04-08-2019 03:02:44,04-08-2019 03:02:44,04-08-2019 03:02:53,04-08-2019 03:02:53,04-08-2019 03:03:22
15,hospital_stage,04-08-2019 03:02:25,1.0,5,3,9.923,21.222,14.986,04-08-2019 03:02:31,04-08-2019 03:02:41,04-08-2019 03:02:41,04-08-2019 03:03:02,04-08-2019 03:03:02,04-08-2019 03:03:17
16,hospital_stage,04-08-2019 03:04:36,3.0,1,3,22.596,11.481,10.85,04-08-2019 03:04:41,04-08-2019 03:05:04,04-08-2019 03:05:04,04-08-2019 03:05:15,04-08-2019 03:05:15,04-08-2019 03:05:26
17,hospital_stage,04-08-2019 03:04:36,3.0,2,3,10.838,13.078,20.487,04-08-2019 03:04:42,04-08-2019 03:04:53,04-08-2019 03:04:53,04-08-2019 03:05:06,04-08-2019 03:05:06,04-08-2019 03:05:26
18,hospital_stage,04-08-2019 03:04:36,3.0,3,3,13.799,14.62,21.603,04-08-2019 03:04:42,04-08-2019 03:04:56,04-08-2019 03:04:56,04-08-2019 03:05:10,04-08-2019 03:05:10,04-08-2019 03:05:32
19,hospital_stage,04-08-2019 03:04:36,3.0,4,3,12.759,16.318,19.852,04-08-2019 03:04:42,04-08-2019 03:04:54,04-08-2019 03:04:54,04-08-2019 03:05:11,04-08-2019 03:05:11,04-08-2019 03:05:31
20,hospital_stage,04-08-2019 03:04:36,3.0,5,3,9.884,20.292,16.879,04-08-2019 03:04:42,04-08-2019 03:04:51,04-08-2019 03:04:51,04-08-2019 03:05:12,04-08-2019 03:05:12,04-08-2019 03:05:29
21,hospital_stage,04-08-2019 03:06:46,2.0,1,3,26.846,11.296,10.68,04-08-2019 03:06:52,04-08-2019 03:07:19,04-08-2019 03:07:19,04-08-2019 03:07:30,04-08-2019 03:07:30,04-08-2019 03:07:41
