,Test Name,Test Start Time,Planning Start Time,Map Filename,Map Resolution,Start X,Start Y,Start Theta,Goal X,Goal Y,Goal Theta,Planner Type,Holonomic,Planning Time,Path simplification time,From recall,Total planning time
1,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:20:50,maps/BRSU_Floor0.png,0.02,12.6,20.64,0.0,76.0,79.3,0.0,SIMPLE (RRT*),0,30.000253,0.01048,-,32.2411
2,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:21:22,maps/BRSU_Floor0.png,0.02,26.62,12.54,0.0,87.0,39.46,0.0,SIMPLE (RRT*),0,30.000345,0.0076,-,31.871
3,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:21:54,maps/BRSU_Floor0.png,0.02,78.38,75.6,0.0,20.0,52.56,0.0,SIMPLE (RRT*),0,30.000559,0.007498,-,31.8429
4,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:22:26,maps/BRSU_Floor0.png,0.02,83.0,39.46,0.0,28.68,23.1,0.0,SIMPLE (RRT*),0,30.00008,0.007413,-,31.8366
5,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:22:58,maps/BRSU_Floor0.png,0.02,20.0,58.56,0.0,86.56,79.0,0.0,SIMPLE (RRT*),0,30.001482,0.005754,-,31.8577
6,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:23:30,maps/BRSU_Floor0.png,0.02,84.0,75.48,0.0,79.0,29.4,0.0,SIMPLE (RRT*),0,30.000222,0.005146,-,31.8589
7,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:24:02,maps/BRSU_Floor0.png,0.02,77.0,34.56,0.0,20.7,72.76,0.0,SIMPLE (RRT*),0,30.000475,0.006839,-,31.8857
8,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:24:34,maps/BRSU_Floor0.png,0.02,28.0,79.04,0.0,66.3,78.62,0.0,SIMPLE (RRT*),0,30.062491,0.007556,-,31.9122
9,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:25:06,maps/BRSU_Floor0.png,0.02,68.5,74.74,0.0,31.5,61.76,0.0,SIMPLE (RRT*),0,30.000527,0.008399,-,32.7472
10,ROPOD_BRSU_0,09-05-2019 10:20:50,09-05-2019 10:25:38,maps/BRSU_Floor0.png,0.02,30.72,49.46,0.0,14.0,16.66,0.0,SIMPLE (RRT*),0,30.000118,0.008568,-,32.2568
11,ROPOD_BRSU_0,09-05-2019 10:27:36,09-05-2019 10:27:36,maps/BRSU_Floor0.png,0.02,12.6,20.64,0.0,76.0,79.3,0.0,SIMPLE (RRT*),0,30.004543,0.014079,-,31.8693
12,ROPOD_BRSU_0,09-05-2019 10:27:36,09-05-2019 10:28:08,maps/BRSU_Floor0.png,0.02,26.62,12.54,0.0,87.0,39.46,0.0,SIMPLE (RRT*),0,30.000491,0.007695,-,31.853
